cell_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93
0,-0.02240170724566928,-0.019545555465506913,0.004139139350453273,0.011036658072750179,0.002636007727744648,-0.006193951945492282,-0.002186054376409369,4.223262266163445e-05,0.002639152777556001,-0.0035395124781196865,0.013409528918718607,-0.0010233530429476624,-0.0021187511792404544,0.005318537215132268,0.004414389641420352,-0.000608504530955116,0.006380567545994119,0.00031560626645725276,0.006684932805144436,0.0006006373203110911,-0.0023121828692261367,-0.005383876474342883,0.004308564903976872,0.006908735813234539,-0.014436784103924462,-0.029756986012454904,-0.044130412175748764,-0.03196632023442563,-0.03224938634084145,-0.02196798795075579,-0.011001663598018558,-0.012554279519945867,0.0027353043738783714,-0.005761310379863536,-0.0009146677792256254,-0.0019418232250767342,-0.002477132028097364,-0.015448428367414956,-0.010471478953642624,-0.018275475109387995,-0.004159910966852824,-0.014611056270420886,-0.010148948036744179,-0.01720259619883117,-0.0073828063382048986,-0.01273178720631588,-0.013401588229019908,-0.004389437345878742,-0.004163597552161812,-0.0010102823128866239,-0.0020216650048758126,-0.004599307226080356,-0.012560026631049817,-0.007537556271566442,-0.015566628359262128,-0.018501005445441417,-0.020142577991136525,-0.013203182003611829,-0.009860781953948787,-0.011784286438900372,-0.008197149490398167,-0.0154483379722425,-0.0044405827331832435,-0.007378094175435843,-0.005577277998259646,-0.013409749313387872,-0.008901223797563808,-0.004369921807704699,-0.01172595447438405,-0.005037977160499429,-0.013464258466983856,-0.016348660084065113,-0.014916947890827608,-0.01727648632643377,-0.023733315445127724,-0.026640228429349964,-0.017295351809107358,-0.011214653537178813,-0.019787776529619713,-0.01698698945992697,-0.014181040154237221,-0.012743121037012872,-0.012678391455973596,-0.019179587134888005,-0.002155783890004354,-0.011740252518923069,-0.007054515162296577,-0.02086877435534831,-0.010979541798616132,-0.009888629073632227,-0.005819545189634035,-0.01174859841677333,-0.00841902595562559,-0.007831229246218119
1,-0.01998947197280904,-0.018439925792600013,-0.009888782958624689,0.011951174438130943,0.002296322737085672,-0.010598063281454417,-0.006380009510781557,0.0017741428780770855,-0.0015473548184879145,0.004270959810611469,0.014412006732238644,0.005522326006251439,-0.0038897286745345335,0.010227906304564776,0.004350030988906559,-0.0021565872232350907,0.005476325155101558,-0.003712408597970158,0.00827043005729467,0.008050707722234936,0.0035831361558614438,-0.0005758478381190886,0.0015846690154437603,-0.03154814152564824,-0.05278522865555571,-0.06529944797748462,-0.0700708980307164,-0.05192098674405693,-0.050669302541875356,-0.03215382246284551,-0.023767936720699014,-0.024174610154061003,-0.004752254987857883,-0.00898174899895328,-0.004538227039975335,-0.008033437496921682,-0.014479887790474025,-0.054812033609387543,-0.04457173588951095,-0.044607907191539224,-0.01694330247680855,-0.01815854948673021,-0.013353537085968922,-0.018574602870417043,-0.007996702498692377,-0.008143557008350904,-0.013046578621341226,-0.005180923203499529,-0.00673931042948739,-0.0016972040671053186,-0.005082711268219885,-0.020614311815173113,-0.06043361308995813,-0.05365223294380694,-0.04878199374478457,-0.037735060610483734,-0.031314386430163016,-0.016129573354623335,-0.015862800264723583,-0.015320087918435329,-0.014037924504679581,-0.01839780754234034,-0.01051019782584289,-0.011469487748414067,-0.014460236935548277,-0.017817159515294292,-0.009940599635942567,-0.004303124784959068,-0.009293392318659627,-0.017114771559871015,-0.05695564237654069,-0.060121525391396285,-0.046179064887270825,-0.04273477510081714,-0.03924308142599716,-0.0336582579109135,-0.024639203488639332,-0.014540516429639936,-0.021836828702839067,-0.017198512793373946,-0.011599517746113027,-0.013049067223978025,-0.018758217723844176,-0.023211823010818762,-0.008113560256633604,-0.013532231241242738,-0.009300144394945345,-0.022809358587593864,-0.018832029451568977,-0.010418175695973291,-0.005412016264954609,-0.008263745301952426,-0.008423595419383064,-0.015347207313374888
2,-0.012234580433550595,-0.010307918474526672,0.004678838068596843,0.0068070488928394885,0.0034926945266493745,-0.0029917592961362545,-0.0059613224041431875,0.0018512033944657138,0.0027027504297120167,-0.004271929065565567,0.008288711731557655,-0.0058979634576777915,-0.0016066944046937662,0.0027645664676854997,0.0026927443039235187,-0.0019085208090452255,0.009429981653077287,-1.978756627014947e-05,0.003492855874184831,-0.0010009194310792264,-0.003363169420269944,-0.008911820363591694,-0.0034000772080429375,-0.004625217094830146,-0.020441805468278552,-0.02984107988979317,-0.03016278401934811,-0.014658095128147527,-0.014888143467189778,-0.004645590321470381,-0.0035176132811882287,-0.0061800863845964315,0.005967902902088987,-0.004213130291950242,0.000430150727075902,0.0004880531012266505,0.001197079311154514,-0.02254346594315149,-0.010585722421793984,-0.021088596145151052,-0.001000376780425353,-0.0066903216043064494,-0.0033942405914225452,-0.014272698809670298,-0.010166196499330194,-0.012352548779563884,-0.020881718619166444,-0.008883475912661611,-0.010472816088583461,-0.006329060129561222,-0.003403206262218781,-0.010689352728552608,-0.02679518688770611,-0.019911235195459804,-0.02002998227229232,-0.01748203720027679,-0.02126854043162069,-0.011281858065054955,-0.007292826847927434,-0.013836824142623194,-0.014148879686947946,-0.020275402837545132,-0.011288590340335136,-0.012098684178834092,-0.011699655481827578,-0.01738620989107447,-0.014873466348235958,-0.007906962605639901,-0.015913255331365627,-0.013121794316366852,-0.02788181111460087,-0.022338457976152633,-0.01433160504702055,-0.02088650794955923,-0.02107461308442643,-0.022907708854131535,-0.019331871605997444,-0.014344637997717175,-0.025014566111429635,-0.02601808590052116,-0.013794681787754955,-0.015471009780032692,-0.022881551852177627,-0.026859399477306114,-0.010066650577386626,-0.018589223251804177,-0.015103012641679752,-0.02631246945625806,-0.020618503130548776,-0.01582431496494064,-0.014935651570549994,-0.019497431288938966,-0.016661220422519916,-0.019509371416137535
3,-0.007415782703395471,-0.005940451160665472,-0.0056281546350174195,0.004841602651988944,0.0012679724700734958,-0.0010635003353535177,-0.003675455547751283,0.0012969247684831019,-0.0015798973383336066,-0.0046870721004980895,0.013238480024577722,-0.004022503640734541,-0.002780798508204123,0.006130550124489213,0.006384070969022694,8.308290152331218e-05,-0.000732781624400705,-0.001109592871889822,0.004175543301321802,0.0012177632547630676,-0.0035021455255721478,-0.003158782423677837,-0.013604993990980092,-0.022539615343845035,-0.0455503124541532,-0.04612239648074356,-0.04010057681823795,-0.022874022896714787,-0.023102951652142916,-0.007234092750534477,-0.00135562125822322,-0.010574544940788577,0.007240983823548621,-0.006263472017981101,0.0010168324392678572,-0.0024728931174443965,-0.00896436856609474,-0.03721038252930639,-0.01949357212549114,-0.020386113951490672,-0.00108629300769659,-0.008723776526409729,-0.003493202342823667,-0.010414704411100458,-0.006267513449630012,-0.010239964893001342,-0.011864489370524412,-0.002854685416618633,-0.005073597356570784,-0.0023373076880601183,0.004654080899036638,-0.01756726434125763,-0.03752954307816437,-0.022107790164606067,-0.016125820571438736,-0.015044498574075854,-0.013462283130032861,-0.002928042724659402,-0.005226549128401514,-0.0022887934879641486,-0.0008358273438933447,-0.010379022139808484,0.002866382136911357,-0.0035251515035105855,-5.2726685445439004e-05,-0.00764889024466967,-0.0013245003464846742,0.0035896446085340915,0.00068172584228562,-0.0198836069064585,-0.03331739287149281,-0.026845738409507047,-0.013274545992386822,-0.011559172410935936,-0.01475348569035398,-0.01743637012380353,-0.00950405956114079,-0.0049116298074064965,-0.012296403549630337,-0.009195287034808942,-0.0021820818084839406,-0.004990082516036796,-0.0063323160219089705,-0.008390043083994936,0.010741748040089094,0.002303611905375833,0.005152522636956355,-0.013703578910031548,-0.003509591509102816,-0.0003171002510756039,0.005777161438655316,-0.0019303299382386007,0.002958651647103368,-0.005449669398752657
4,-0.027526210773680462,-0.018851096627825185,0.0008524969852620769,0.015872865738576998,0.005333536763013271,-0.004463913161395761,-0.002975891899038637,0.0004323720085923626,0.005754534540972852,-0.000707567066544434,0.010923553539290483,-7.476463283733422e-05,0.000980195825508364,0.0029200926970445766,0.0036852099378947784,-0.0018898294453145376,0.005507459926800097,-0.0018292060751551253,0.005989422336843803,6.673938198856002e-05,-0.0006468114767881981,-0.009914564695525626,-0.000363358128019992,0.006785268814751056,-0.009151436461706583,-0.018975997544366074,-0.037976359896430896,-0.027407976780240834,-0.028463417516496777,-0.019737188341514875,-0.01172810890131735,-0.013147865769229123,0.00010396388357829074,-0.011265870490950979,-0.004142348541401837,-0.009143979350080109,-0.003503574810554263,-0.01458501980067407,-0.014282463676971459,-0.023912469964826835,-0.0027101684122584286,-0.01651001433821562,-0.014405538060916155,-0.01944678749631202,-0.011558432141059144,-0.013555608384730373,-0.017752377587308132,-0.009748578798494976,-0.013703355088954495,-0.007211001458671821,-0.007959452147184003,-0.011812533464278673,-0.014996904144281334,-0.010247042065576835,-0.014942312641761653,-0.023865122470004194,-0.026793192676535214,-0.0127973718091102,-0.017349498515506875,-0.016551269873224035,-0.01321437540743896,-0.01980252320571321,-0.013309377363096682,-0.011168749583495976,-0.010225514784060703,-0.019263728987639415,-0.01566734272954482,-0.008472103713036602,-0.01365037054568581,-0.010887546190254387,-0.018416113685512596,-0.014711258467835725,-0.013628275926602994,-0.020030433659243587,-0.022479700665369497,-0.02795196804626178,-0.020483898899506903,-0.017680240119786035,-0.024934354729171226,-0.022504470847123346,-0.013150149776843359,-0.018389459460662384,-0.016062337381997246,-0.022744357273488516,-0.0037631285820049066,-0.017414790409625274,-0.008229526415776183,-0.0258542263638425,-0.017716941501017863,-0.019124652066781468,-0.010875791178120842,-0.017060854360753802,-0.014554964276969477,-0.014466916151061559
5,-0.026140942778921022,-0.015128467975114426,-0.006322553610309912,0.014204366014708527,0.001789802860196514,-0.00720287886950923,-0.0001404108078254829,-0.0021433086326085407,0.00297808765306554,-0.0007400850757791538,0.012668249345005898,0.0010751703497413087,0.0007335388023962339,0.0039125562103351635,0.00769130135073742,-0.005345480942132053,0.002463901226661796,0.0012382544470622113,0.009224737832337368,0.00518416259994776,-0.005637908286731623,-0.007271118852770265,-0.0015212901600163116,-0.030813517065414568,-0.05797699400829008,-0.06836795678141878,-0.06939584318961332,-0.05421724579560814,-0.060448763787898166,-0.03375290846151121,-0.03268030071841905,-0.025954903941528464,-0.009601656519741191,-0.0102314138951178,-0.011006367930882029,-0.007277730674040695,-0.018120482675112282,-0.05723353576212421,-0.04730777226949638,-0.0442708209542684,-0.01691718231481301,-0.02526260790857484,-0.014760669591217775,-0.016991106208161133,-0.012702047720849343,-0.014321323866305555,-0.015558309505002331,-0.013536659603908636,-0.010098767903509215,-0.0027228747137803457,-0.013998325743696916,-0.01544030032565388,-0.050271278779432285,-0.055069072218132245,-0.047942844215181774,-0.039772870061871565,-0.03364304184673424,-0.018153738712087777,-0.016368363061766762,-0.02441703747009442,-0.017790384996762623,-0.021714825096279842,-0.016451929122976123,-0.00909658260095754,-0.012834213789752184,-0.02308143746838967,-0.01568095821807139,-0.0028057122441853305,-0.014049653565756645,-0.0176598350568674,-0.056843446047137536,-0.05566276600078468,-0.044677985824690465,-0.036271616757199775,-0.032838904590046444,-0.03510837825631011,-0.021658339162291144,-0.0176834718934121,-0.02864908731203545,-0.025253898007790286,-0.014983702413800948,-0.01899169883074009,-0.021566242477145992,-0.026146956743354918,-0.0077810751265701686,-0.01242677731896116,-0.015836275185455058,-0.027245506590589778,-0.018498809658208448,-0.009307095674174213,-0.008791099448303813,-0.009750456080666438,-0.01004037956886992,-0.017618058774723486
6,-0.10987291021353247,-0.024322719785420735,-0.015608250201268693,-0.005986283743612933,-0.003792722661692995,-0.0030740455482593737,0.0010127056876511865,0.01289069703726329,0.012500419595608528,0.007986296544234465,0.015289297697779492,0.01367708056944099,0.009212475350042234,0.015372057066239082,0.011891738308311714,0.011833758281839088,0.014788865566125508,0.009890852690835346,0.013544434268091219,0.012766253490325464,0.010562487174946258,0.00969772592331903,-0.011628645157869976,-0.08641422714645804,-0.1644434357572863,-0.1986785026986415,-0.16984296072342978,-0.10147575962012464,-0.07418272662408491,-0.04847705537051489,-0.031410784783583036,-0.019957492113760047,0.0024986443295352016,-0.0030643469286810764,-0.010299592145245456,-0.005151355607825878,-0.027063046857761133,-0.12443058774578826,-0.0896905730692408,-0.0711052605836666,-0.034961179632733895,-0.02518057149497777,-0.016686918591210905,-0.018230055191072972,-0.004571008310252511,-0.006279437341562013,-0.006004116846008691,0.008296333303954,0.0038419115919405356,0.00791315708910628,0.0015772583232396163,-0.025422003885734644,-0.10674036792853514,-0.08085014942938741,-0.07028797848045443,-0.039592595153818806,-0.03165770742849893,-0.027378743315734335,-0.019172519123729914,-0.013823983037247335,-0.009984380651357073,-0.0160950475622991,-0.006926304938712434,-0.011676073187756649,-0.0011831848617751993,-0.01368242334427993,-0.005676254543742225,-0.001381704290988482,-0.012446059988571793,-0.04485135002832186,-0.12130223627683828,-0.0978609014036932,-0.07238362923756733,-0.054350788198071716,-0.0467071204194426,-0.04207484508797098,-0.034004678582241536,-0.022058681509221828,-0.028997919670931762,-0.026779035348654508,-0.023718774490368164,-0.022533312344537235,-0.025299177617953934,-0.03218804316121279,-0.014273905862441557,-0.01961454521284293,-0.022170820915277542,-0.03087214129980454,-0.02871596686750156,-0.023684116009776917,-0.02425273682551678,-0.026457192410903527,-0.01847839908817433,-0.027828144374972056
7,0.014786247384097144,0.0026034588244459892,0.0035788409776316213,0.010391046104346187,0.004441228479297499,-0.005559538923219013,-0.0074363731347274285,-0.004658296380781956,0.0009596501638311466,-0.005033429865458254,0.008559485249681104,-0.006626322583259352,-0.007476025986485496,0.005500768416083498,-0.0019417588193305097,-0.004466683802858534,-0.005367377899635718,-0.007433459921147372,0.007071024699743206,-0.0018924829822543243,-0.009610689370519484,0.004088132422422982,-0.014223580830063568,-0.006040257971401274,-0.011463056696126848,-0.01303905062945267,-0.012953287999369987,-0.006989605664972828,-0.00437985092066095,-0.0021392984847816753,0.003059724444860277,-0.003544459933835462,0.00823040218121376,-0.0015475530147877204,0.0014436436504353248,0.0036498224624924537,-0.011629441707377662,-0.022928433578112948,0.003994010676048495,-0.010337158242929611,0.004311173621918917,-0.0031000413078380988,-0.0032866757072240113,-0.009372136393151516,-0.011090801303612209,-0.014003047808460473,-0.015936042248734638,-0.006966014429232776,-0.009519451285634865,-0.006689120235124632,0.004042063047185319,-0.020511646147753974,-0.023292551776374213,-0.002924067317928028,-0.007159428186174406,-0.009911058058445202,-0.014280158429973005,-0.0021002729527521006,-0.0021306879448572025,-0.008327762990578235,0.00020814232618842965,-0.016388757702234982,-0.003457972080880639,-0.006479462424472483,-0.008310899668678496,-0.014092162340400179,-0.0083018529805948,-0.0037319115153653195,-0.003951659627185678,-0.014923353693134004,-0.01727294683905368,-0.004882122406358641,-0.0071973926115588395,-0.005204543683297448,-0.011943379889024493,-0.017999228512919744,-0.0077216984916614086,-0.008438094371718231,-0.020039529168024924,-0.012417534492103708,-0.009453418085746745,-0.013519940257315795,-0.011480832102189812,-0.02062217832082665,-0.0033064468603145923,-0.011184930699068263,-0.0037378410097003286,-0.019740871308410676,-0.012297008261659245,-0.010563537100463238,-0.007752922033390221,-0.009651568924798026,-0.008746577477223055,-0.016313333863713492
8,-0.016497450247088718,-0.012170965650403752,0.008024205910877132,0.009351887361970353,0.0030564367527537066,-0.005203506024117328,-0.007521277680182428,0.002857186827202865,0.001669773068028682,-0.0028335388547731833,0.010736401409216584,-0.0027206225777155796,-0.0016892311966181532,0.005707639635587869,0.0069384658534155895,-0.0037650206907227568,0.001728316631765195,-0.0011606748920839679,0.0033028956772480716,0.00018907868563827198,-0.0005264997816115251,-0.0033489934507177194,0.0031932213085251217,-0.00015009719705763732,-0.023256771579904998,-0.03972280100887897,-0.043593147459221285,-0.02793605971178191,-0.027721185070878764,-0.01581785345316216,-0.01092165483864031,-0.011121688306294394,0.0031683073634106176,-0.005124469563184093,-0.0002722914940521816,-0.005401333862905246,-0.0033823124673185946,-0.021237599895479055,-0.014719133842848621,-0.024686480969163153,-0.005691699029040234,-0.012034686542215747,-0.00915518709631507,-0.013983395821674401,-0.012614885266798482,-0.016898252591379184,-0.015156728259292415,-0.01055216877390615,-0.010281183359411894,-0.0031224637449022057,-0.005813955014010195,-0.010083000938165932,-0.01559775712765905,-0.016593168627835754,-0.020889435459936878,-0.0214702455991941,-0.02042466006574539,-0.013201814730282029,-0.0119741314278218,-0.0126983775607962,-0.011219640342683346,-0.01799288521450815,-0.008681871521417072,-0.01083344307598707,-0.0073918467142824245,-0.016198680365336247,-0.013453954822781401,-0.006079682861054316,-0.008835960212930713,-0.009115367595789117,-0.02105053734618288,-0.01919259821707733,-0.015498433140190617,-0.017941771910868196,-0.020426381117409013,-0.025037543847055418,-0.016219131258983346,-0.01027453147603347,-0.018752464397461165,-0.015766241518164557,-0.007145336382851124,-0.010822091673711152,-0.012047402815345592,-0.017042432763256406,-0.0028289819434986234,-0.009765237458537383,-0.006444820920507663,-0.020383713437954053,-0.01185385024857738,-0.007392604155001017,-0.0037172841657834668,-0.008806003881587856,-0.007119977655893055,-0.011031689584529058
9,-0.019550781623446138,-0.017566617238251068,-0.010453896543230326,0.0077290030168334295,-0.0026606700419069393,-0.0032182108399069344,-0.008251068146370652,-0.0034938367202425897,-0.0035787196392767433,-0.0077947891443702864,0.007507954281574688,0.0021365722132344906,0.0036043295779717094,0.012192571023626433,0.01008680862025628,0.003147876470823051,0.009368394425030615,0.0041051424254364205,0.011741670805496061,0.004948267076717235,0.004707755005939964,0.0031541916803074516,-0.0788144426828604,-0.12198692593061632,-0.14019450695625207,-0.15259273840494034,-0.14937550518522502,-0.13036823796888422,-0.1202707377557117,-0.11257564584227044,-0.10317480169135695,-0.10118904082572551,-0.08698077048753441,-0.09044782244740737,-0.08478509720743636,-0.08922960231570456,-0.11273541608576687,-0.14637696313055393,-0.1294571391624653,-0.12419300408476908,-0.09930818734030125,-0.10539623018407185,-0.09718089621369017,-0.09718603714020978,-0.08998174798087652,-0.09210438168275564,-0.09479375459879026,-0.0875408554668616,-0.08672695062565157,-0.08108451505444535,-0.08510247534284814,-0.11596131427060698,-0.14436911313458128,-0.12757085117421316,-0.11770276336240192,-0.108791700142473,-0.10405983988107304,-0.08990302288576289,-0.08925775051190989,-0.08790711313276807,-0.09051154640286033,-0.09546358668383723,-0.08280799580684035,-0.08605303093082237,-0.08199999282312614,-0.09170795089573096,-0.08595171530290094,-0.0797900043869199,-0.08408854938831087,-0.11823243768996013,-0.14549051755216985,-0.13211276849971934,-0.11500121348109878,-0.1077659272268416,-0.10308800377666845,-0.10346841383698739,-0.09074886595765497,-0.0876379406976793,-0.09369866852610838,-0.09074517150766688,-0.08610148467857481,-0.0879800181224702,-0.08475069078237554,-0.09584523959762879,-0.07742077817646796,-0.0855019230128636,-0.08339504420141768,-0.09386192449201734,-0.08897411995896541,-0.08501836294648184,-0.08057865338635117,-0.08686976407165567,-0.08537034657078144,-0.08630975982366677
