cell_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92
0,0.022527523546611056,-0.0005443935438177743,0.006294294139036806,0.0027514534614019484,0.007208659557852283,-0.0010235881515471097,0.005549115107696529,-0.004479060988091944,-0.006558340245816482,-0.004886931539274012,-0.004149773566366022,-0.005833741000071694,-0.0017101565898855196,-0.002407277712253128,-0.0028277079171956598,0.002417280910681079,0.002442252499758344,0.0010869000238743138,-0.004855248809046594,-0.003908839789778353,0.003290705347503461,-0.002818877937006818,-0.0009782732550624334,-0.006585973549203841,-0.0058984345217181116,-0.004421614030764239,-0.012891120304381588,-0.054115585073954905,-0.05187040647126638,-0.0340866534981818,-0.02593011369633533,-0.013078007805036063,-0.02517921780752516,-0.02360348177316312,-0.01776042154911128,-0.011715436119972396,-0.017748297348689195,-0.023746244490753635,-0.0163239560246395,-0.009048782484848158,-0.014629877297771845,-0.004931997164638895,-0.007210717317223349,-0.038115801733545986,-0.07187981853570617,-0.0537666372317256,-0.046771885767220314,-0.0359083018601802,-0.023742123339921074,-0.02207799022317032,-0.03204306765231339,-0.024692045411851674,-0.02503995402124823,-0.03021521211846952,-0.02299427945237185,-0.02226539474005969,-0.01948282156755043,-0.019164249540869076,-0.017790486720955158,-0.02049673431690239,-0.016561577747984925,-0.019486544624749236,-0.009862758664576766,-0.015379117955058006,-0.024842569927242594,-0.01022302967692392,-0.01176020495867882,-0.022318845727621033,-0.01415425483632994,-0.01178184773545882,-0.008215048639755048,-0.016496991658960177,-0.01551226846967896,-0.015917671175973713,-0.011741941767927753,-0.02053829004932506,-0.014176857552568188,-0.018122587847790982,-0.019261287240361757,-0.01720038871749714,-0.017392668359338025,-0.022873040036758913,-0.01347530208434647,-0.01942582183760639,-0.015829472084380423,-0.012868599113307792,-0.015175791435024535,-0.018433702310817337,-0.01594564776909871,-0.020717594219635392,-0.021466058820307325,-0.021429348701189396,-0.015656193569193566
1,0.004975379765851737,0.0030715519284080705,0.005681890264199684,0.008575579488148367,0.0004287766792262516,0.004128606166706116,0.0069535980758196935,0.0003145204055301655,0.00206118981733595,-0.007554399570795895,0.0030395577468361246,0.00033711310852756594,0.0012927222365694648,0.00389363170977617,-0.003417766644933663,-0.0006206095022005486,0.0018929736481802036,0.00046057705450252293,-0.0059788744900294765,-0.005063478632765525,-0.004342456873891,-0.0067628160091233605,-0.002190518010676199,-0.0111767483612021,-0.01165214341882656,-0.007738385471297267,0.002803248648896257,-0.01936683003225293,-0.032674233090622305,-0.04272961719920079,-0.037835842087143294,-0.026742544456738036,-0.03576073248289076,-0.03495043262286923,-0.02081345695224588,-0.01728401791364178,-0.022892806361942953,-0.031742811822364866,-0.013321321195931837,-0.008738214013791927,-0.017209318189018975,-0.0007396986755703566,-0.005814240549372918,-0.005975890306763408,-0.023574622880100853,-0.04004693188982589,-0.05199640682692577,-0.03900264856763725,-0.03922030408678183,-0.037750361249217046,-0.03311332802279561,-0.03440360093953771,-0.02487393896267358,-0.027256992130539358,-0.015414155883136445,-0.017027342732620923,-0.010392175534916498,-0.014289305410866865,-0.010353292698878185,-0.015597735929842484,-0.004892607389607086,-0.009992606797491642,-0.006736225594223451,-0.005556991180163015,-0.01628925003837306,-0.003654937194749011,-0.005629467213329981,-0.015018493458839042,-0.01282548312493993,-0.0018311727627166518,0.004105749518130272,-0.014123420047049865,-0.012766475690052697,-0.014449498971600224,-0.011752409804199768,-0.01627028985892723,-0.010121915778592797,-0.015378696064315824,-0.01579326552546143,-0.0168233628018909,-0.005867818833283511,-0.011146210565492833,-0.011692699488932352,-0.00974242225534323,-0.014322336362206908,-0.009257065000663825,-0.0067250429854699865,-0.010977701443321625,-0.012009168836534813,-0.017449064654432554,-0.01351560195223491,-0.009226936880988428,-0.009408522017876128
2,-0.002686853844146559,-0.003132863858985991,-0.0018216488326444511,-0.0037595941263336777,0.00414026890386566,-0.0008943784805981903,0.004413970677693513,-0.005917821495878897,-0.006927362433740898,-0.004691398451071758,-0.0012781767986974918,0.0017486834574905786,0.0012575488749464602,0.004045902303937194,-0.0004819736619100147,0.005185323517952926,0.004508223117146448,0.0028569119215773905,0.003991111852482519,0.0037833792657783363,0.0017038455135625667,-0.003182476189079507,0.0025078447204502762,-0.0053684659537954595,-0.006194373385789365,-0.002247637038030814,-0.012710064864674773,-0.04511322610483658,-0.04393708002198537,-0.03576790500773802,-0.024444825157414703,-0.006861084586091033,-0.017979331133284024,-0.01614893235811891,-0.011218199422914148,-0.006038605246330915,-0.009028755880854448,-0.017547728132188477,-0.007268377769988087,-0.0035783267362147087,-0.010501930311901699,-0.0017775086412757136,-0.004076671597190117,-0.02425334659604711,-0.05360659121717247,-0.04869753887192189,-0.038725167521192906,-0.02895166437922772,-0.014997990898725453,-0.018935665960237758,-0.023957587968394,-0.022566645874320987,-0.017603024328930832,-0.019360953583313606,-0.014920485320299735,-0.01632081013353829,-0.013418681582462172,-0.01696986926759175,-0.013347867579983687,-0.017980689470231286,-0.013869970519874672,-0.016906935879268642,-0.009057129109237215,-0.013379164951607273,-0.020337548914337776,-0.009606053501933162,-0.008812705810079955,-0.019414090544048933,-0.011452968996903373,-0.012400765727185337,-0.009676131413001792,-0.017587956647951746,-0.02005182681012703,-0.016238127707329613,-0.013051726135673916,-0.013695434813691591,-0.014757859445250448,-0.01705125355556691,-0.019747019076905136,-0.014858571240216065,-0.008841671462530006,-0.0171967377131634,-0.015807181541822646,-0.017909672309733747,-0.01472097568004475,-0.01720890187802189,-0.01572416392111423,-0.017068215891729157,-0.012558375131458773,-0.0179263185121941,-0.01993971683655248,-0.016463839018190762,-0.01363869651347184
3,0.0011237298501348917,-0.002401667187009177,0.0010935011817377177,0.0004711823502092477,0.003636249068622085,0.0003846001078155803,0.00390613695058303,-0.002939965849789448,-0.005019240486335751,-0.0047307244838491825,0.001118135461989758,-0.002001195109776679,0.002345821364900194,-0.0006753175409960007,-0.0028059580968853885,0.0024797258361592637,0.004641734122061678,0.002152931217660251,0.0005673701953489174,0.0010432336139009452,0.0012017722439138902,-0.003355159805526792,0.0022321184910044276,-0.004469013495875515,-0.008911945846530748,-0.004620160200889557,-2.7346467664252276e-05,-0.015730728684481256,-0.022130131408573697,-0.019213619120842334,-0.01303850043460487,-0.0008480982172314775,-0.012343750038379182,-0.014875929986867155,-0.006825625835621522,-0.0021529052643118867,-0.007642246432301242,-0.01518732735935914,-0.002954316170744676,-0.0023345538015511207,-0.008497410312153491,-0.00015050274397481242,-0.0023213581029692385,-0.009386824811837769,-0.02400214312716112,-0.023206334830179663,-0.02520804947177161,-0.01809324923769782,-0.010761545895969027,-0.014966058308094879,-0.019027325358508297,-0.01717350812767346,-0.012535662849466868,-0.020611849305368482,-0.013400579394392861,-0.010067168543614774,-0.005492149169753921,-0.01261658866564718,-0.009397206192326821,-0.014465253451724702,-0.010178647467725266,-0.015530726390452314,-0.007147326200142017,-0.009223269094162087,-0.01618946024688292,-0.004756194860273866,-0.00972465740422957,-0.017062281476427212,-0.00848654976793413,-0.009905972652438214,-0.00235532245069782,-0.016570872800262957,-0.0150036636343018,-0.011097072118211192,-0.00947258822290653,-0.013433846306502566,-0.009641613017380325,-0.01362539560202074,-0.015507737844437292,-0.014769327576671125,-0.00866336224876232,-0.01442547937568415,-0.010982380537377238,-0.013218815941278154,-0.010829003769113194,-0.01245038252211398,-0.010183430689734157,-0.01050493851514471,-0.00874487833825931,-0.01588276494001708,-0.014146775570408592,-0.011394799428393967,-0.009052296640618636
4,0.009055282767504716,-0.0007838588813591092,-0.002203730501348287,0.0011661075787589665,0.0023948088411066067,-0.0016855269584947878,0.0063889561310370956,-0.0025782123326708747,-0.002704744469970903,-0.004934219576950688,-0.0011455503184294575,-0.005031877485875226,0.002889848842373648,0.0024691050642374375,-0.0022695392392320457,0.0030559663230721778,0.003945345010774527,0.00356935270488626,-0.0018620233944184473,-0.002376036781912638,0.0010249527473142922,-0.003619977051317606,-0.0001604473352013237,-0.004603981683878915,-0.006631589869675303,-0.005250297994172958,-0.003008466463123886,-0.038694777405015,-0.05218439747796545,-0.048559421042086666,-0.03751558593848005,-0.02217554990928081,-0.028182562505075434,-0.02585924455890952,-0.013473064136083025,-0.011481286097958883,-0.01599056784027381,-0.021024315082248987,-0.013800130850611832,-0.008967165858656092,-0.014281048350255218,-0.004062689466248054,-0.008567847646665926,-0.017751429207048596,-0.057955642449041944,-0.060502067665413786,-0.05766452899823786,-0.04110831538585646,-0.027721951738282676,-0.02866504339758003,-0.032039773591071095,-0.029015991918663653,-0.025501794029016936,-0.027928697146176865,-0.022755443212274767,-0.02220414197820887,-0.015135374298132715,-0.023132125403179247,-0.017890362827809633,-0.026404073250825746,-0.021616134632782356,-0.022591902747488502,-0.01170148087085699,-0.015858933974057222,-0.02876171965504546,-0.01679399856461283,-0.01370153909263017,-0.02793220886176796,-0.019948727538253355,-0.017882037669739385,-0.017007841657582415,-0.026028614315014128,-0.02545615019198352,-0.024234926376656,-0.01844784398096461,-0.023890676645428675,-0.02076690858973428,-0.028338988465985742,-0.02444355526531013,-0.025631090121737435,-0.022794157853858108,-0.027930013636906337,-0.023220160682027927,-0.024397404180122647,-0.02535369403247958,-0.029398041345169823,-0.023688961604778774,-0.02459326874695587,-0.024202898317187884,-0.02961298400569673,-0.028387318784501826,-0.02471060010548017,-0.022890727259502985
5,0.002238983711399762,-0.0018427560246200134,0.0011525277411349097,-0.0023875732842342377,0.0008118247975973468,-0.004644014963300053,0.006275228211399032,-0.004094692296564728,-0.005750351690059533,-0.006582974516981163,0.0009016202316360687,-0.0022297838916897892,0.003984968247974706,0.002430519751570124,0.0023664500359248724,0.00077029132294425,0.006221143341358311,0.0032938394220254673,-0.0012559027252489776,0.0005815800761068415,0.0014603204188163427,8.938105828789849e-05,-0.0003052390274131967,-0.003485389948060275,-0.009510627362239028,-0.008692547591435036,-0.0007257466044221979,-0.00939835047781269,-0.013052076983671423,-0.016793314499154808,-0.010759647522542052,-0.004218721039047366,-0.015037598069731904,-0.01583744518431522,-0.007115503369311167,-0.004914805698165239,-0.007919986286575432,-0.019648340404695232,-0.008613874957328781,-0.003567740451611004,-0.00793481869025635,-0.002481625922552646,-0.005288118932671146,-0.009313171135903754,-0.018470805720813038,-0.011968591690954825,-0.01354302003473349,-0.015525303908578742,-0.019177333700596506,-0.017289433238393607,-0.017907425307634863,-0.019670143277220224,-0.015432417293503704,-0.01816480247452931,-0.015349097717378584,-0.015386476058552267,-0.010349454487902166,-0.016258129308222822,-0.0137548370705609,-0.018482497987240023,-0.010358069347182992,-0.014443463640671379,-0.006605724481226515,-0.012165006059837934,-0.020366419774733337,-0.009626998051104813,-0.012122617214023667,-0.019221238159043693,-0.011115764899855609,-0.008596831691482204,-0.0069943672020955725,-0.016489058281551616,-0.014929334528008875,-0.015072441017260064,-0.009818087148925661,-0.013945664553358508,-0.015170012609075512,-0.01709921497529484,-0.016029394145303997,-0.011838826943904852,-0.01063339384643093,-0.019148748840179305,-0.014051899496436723,-0.01073896072195308,-0.014058256300961223,-0.018847819686532114,-0.015035121271521552,-0.015473436769773575,-0.013941468525360557,-0.019309655097317018,-0.01854582192032898,-0.012472876175698519,-0.009700781565037148
6,0.011552737529803292,-0.012115508494630431,0.0023995051771716945,-0.0023617740556643625,0.0022997665789976245,-0.003850300521303484,0.009166157609985029,-0.007226671432915464,-0.009740197908303641,-0.0025942575269514738,-0.002062662169009567,-0.004532722017353767,0.000905489580404163,0.0003142727637456589,-0.0012506985242613244,0.0068207123054430325,0.0042713322326895856,0.004424495000160291,-0.004350769811095441,0.004570792653948553,0.0014997462004230305,0.002470232623171973,0.001414920513064347,-0.0020245983075176496,-0.00842407305529624,-0.004488825131449707,0.00864752110598299,-0.008153445367541576,-0.005704872545125746,-0.009335081935454494,-0.004784268523052018,0.0026485386543529553,-0.004163724162555198,-0.012975728366733236,-0.0026501489855325945,-0.002838303932281748,-0.006412802217789086,-0.011189303269240839,-0.008192177992793561,-0.003514825100450304,-0.00652744777467841,-0.0020108037450578186,-0.0038507097622120347,-0.009415841386546036,-0.020778530260955004,-0.013396694441964332,-0.015459054864633472,-0.007733312995720448,-0.001879222795012419,-0.007612135993249383,-0.012052343041972103,-0.011616563600126958,-0.005858701375006649,-0.015780722483412248,-0.009266850278561075,-0.011847018145700007,-0.003835092341869954,-0.013296518571235769,-0.006644608759095033,-0.013796828168585833,-0.013973129899371398,-0.016971725383901105,-0.010097316111279057,-0.009098132844078573,-0.01677213423484839,-0.00292403777590328,-0.010156498088955093,-0.021348562497765566,-0.013730988604621469,-0.007010284835706463,-0.0066894862051129055,-0.01717901743524152,-0.016048338298357244,-0.015617066070299975,-0.009511984139711183,-0.015382184823592935,-0.009759363279075865,-0.01723605978091721,-0.019433541779634925,-0.01567259337269946,-0.01290326464413463,-0.01761014184214907,-0.01570347308003053,-0.01781146908581594,-0.011686604683544188,-0.018478287554933276,-0.013453210135803305,-0.01718776399689959,-0.014081918103325415,-0.020799857017975897,-0.021406119637062165,-0.01775935006217238,-0.01604584910351726
7,-0.004464293167875023,-0.0010150071207682542,-0.004156181272809961,-0.0005233913040941843,0.0020997153143492483,-0.0028220655640142354,0.009131566070759522,-0.0016050421423618247,-0.004406268677710008,-0.004261864368970589,-0.0005215234133155025,-0.0008540118191534879,0.0011299222789219996,0.00254092977108111,0.0001982549487027269,0.002515133817855833,0.002734160020732594,0.002650026923620431,0.0014708121239372937,0.0015979713609748194,0.0030754330863948373,-0.0012635763728500846,0.0010429347508468178,-0.004293635244253594,-0.003923965646686566,-0.004155529495004062,0.001490641774693006,-0.02791075298601734,-0.03864029823837541,-0.03449080108115114,-0.02308754175668546,-0.01279255020524511,-0.022413687288458058,-0.02067207015372751,-0.013563226938521022,-0.009002132033171344,-0.011135219971229739,-0.01962500267289675,-0.00934144442248692,-0.006925160873638432,-0.010960878216413455,0.0002932218792017566,-0.002809607463536507,-0.01185015348821935,-0.0391161562429882,-0.04591209907221162,-0.04287654181831844,-0.035465286789149335,-0.023547012452300058,-0.02141891620216116,-0.025082951852473192,-0.022738897920520543,-0.020858534153695634,-0.024877507205446698,-0.01950256962958737,-0.015903173499095813,-0.011886087646218577,-0.017474969930517927,-0.014608368057630532,-0.020764552560982308,-0.014052141421992945,-0.020872606077682702,-0.010195034747406035,-0.013294140928722921,-0.0227518097854242,-0.01028260202776276,-0.011445922487534017,-0.021957118436141444,-0.015222461447717621,-0.012964768411550592,-0.00896679974696914,-0.019137886625580938,-0.018853117219057823,-0.01497527097710443,-0.015338112500002679,-0.018043867698790714,-0.01416635354363313,-0.018268746870581592,-0.01938288688001241,-0.01794021585600312,-0.0169532666377526,-0.01800868910059973,-0.013180820376333866,-0.016250008926276874,-0.01745361501797246,-0.01788051001038477,-0.016763178997418037,-0.018211452836158656,-0.015667940121260226,-0.0209025325823125,-0.020271492211667554,-0.017787864405206237,-0.013058814505113725
8,-0.002038588320606135,0.0003705594266418331,0.0010263024373832275,0.003078501162492058,0.0022091724109014987,0.0015201000639282229,0.010954336323808395,-0.0021606938858693865,0.0006664919947363567,-0.005993816983990134,0.0033589629947106724,-0.001290963770269654,0.0018855130131272227,0.001083023916877779,-0.0020254883167012748,0.0017291747481313234,0.005420245889840118,0.0038534749463689354,0.0022519876044178894,-0.00795618009425521,0.00026294361015998565,-0.005566459154009295,-0.006626934491738659,-0.006011665526084465,-0.009047770962010749,-0.01046707231791409,-0.0056468137595230535,-0.014496770653705549,-0.01680579123060241,-0.018456109187090192,-0.01069331263141249,-0.004786798608447586,-0.013504932344117537,-0.016225896343493664,-0.008573711302957603,0.0005025751429099875,-0.007014265715241474,-0.01771064140477747,-0.007231812590250988,-0.005663892925256477,-0.012643639361254672,-0.0015966964271943518,-0.0053862077870031316,-0.0053405921157220525,-0.014485580120199711,-0.01350729682679197,-0.017419748227242716,-0.012728783776322581,-0.007428842291176951,-0.013526702075640601,-0.019085662151923744,-0.01764343726236486,-0.012338246721040185,-0.017289398018410104,-0.012317352824351408,-0.00977540048425795,-0.003972917299712079,-0.011121660840828416,-0.00964745519548653,-0.014224787490171765,-0.010072344320813218,-0.01328412897083966,-0.0014055279637552077,-0.0023318990681384637,-0.013636064349984295,-0.005940854624271751,-0.0036170010913112774,-0.015044895114607349,-0.005594073537619471,-0.0028071854287220455,-0.003250078946233158,-0.015517370871292315,-0.014873117925667706,-0.008030730849034225,-0.0024705474854286136,-0.012269909176742378,-0.010326155871219727,-0.010390950387005864,-0.013261549092602598,-0.014174392612899076,-0.011331973666405568,-0.01733325529103328,-0.010407260580382202,-0.013293290571771902,-0.007781972944320077,-0.018193304214889582,-0.013965297085239952,-0.01224700291014751,-0.00816667978956205,-0.012431728112070663,-0.01687368523737159,-0.013758087866905433,-0.01011226402335662
9,0.0040839762501356245,-0.0011215330238803823,0.001167744585936435,0.0012417589180402052,0.00497090391851092,-0.0010504439573074393,0.004528537768165643,-0.005124969896459212,-0.004165228988431107,-0.0012705019153839078,0.0015930122419153838,-0.0022870598748176087,-0.0012693825492136159,0.000209721285619986,-0.001711165616676515,0.006902362682921168,0.005505187629394376,0.00030820411900810634,-0.002008806531443195,-0.0009748961502151265,0.0018068383821939558,-0.0038773751645276326,-0.000319342595333974,-0.007137541518153629,-0.011018832971754256,-0.006969676594667942,-0.003130387328403526,-0.013729269222602975,-0.013556378796227307,-0.013179555244904002,-0.0060945058511011774,0.005807625515230157,-0.00833955619738772,-0.014536174238287038,-0.008808807638077155,-0.0026706315602309048,-0.004471869931274504,-0.01560099695507673,-0.007052720431276842,-0.0035771377321090385,-0.011778101654743457,-0.001353666359108838,-0.00417924760501506,-0.00726470447619992,-0.01924614980817447,-0.0123014450745822,-0.014866940839051995,-0.01019424315715157,-0.0037125540144271603,-0.01440536299891245,-0.01613322089078184,-0.015717327100613035,-0.015534569383782823,-0.017521629944902146,-0.015978227666204232,-0.013142052693441923,-0.008482057956221815,-0.015591353626710417,-0.014987939157314499,-0.020971896451211936,-0.012401201913750118,-0.02009557299010507,-0.01115126543410776,-0.010211127530176077,-0.02245284794009382,-0.010131544075725937,-0.009747510565962724,-0.02389528468744532,-0.01159691718505039,-0.010447191607655018,-0.0074658151867533105,-0.023622029557975533,-0.016677388575167033,-0.013256231793055339,-0.013991762306536475,-0.0183303654660314,-0.015094113616271696,-0.019889918357651293,-0.023064259020215125,-0.022546804957238736,-0.01600083452783416,-0.021591587828725726,-0.012327560459633848,-0.019052646099659273,-0.01974002760851666,-0.020884056023652352,-0.016500659442068973,-0.016609476214963295,-0.012676879224527387,-0.02123173511672433,-0.022189925577683692,-0.017636048182103917,-0.018575906043781745
