cell_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92
0,-0.0016310306295829963,-0.0017501624297375769,-0.008012787918421936,-0.008241438300433565,-0.0016748640140736661,0.0009180262518884741,0.00790970919110069,0.0018958334275549836,0.0010304920215546702,-0.00043624502361691483,0.0019508449045307276,-0.006389269558896125,0.011393685357105509,-0.00110605608824116,0.0023229390634339226,0.002474333456571517,0.003467704441699984,-0.00044279205582496543,0.001422653130172665,-0.0031607059923120756,0.0013820272519051264,0.007419669221236218,-0.003170926459562464,-0.002087941967447209,-0.005483697280603382,-0.0005293829505357933,0.007487411434275396,-0.09008629859182442,-0.11497013120311778,-0.08670432056244916,-0.07171726400610123,-0.04430655559813342,-0.027572040731426634,-0.025630021567503335,-0.016597075075749916,-0.009869376437288703,-0.00872598052402204,-0.015332785896991137,-0.012583060417115372,-0.013857350166117876,-0.009624039795765926,-0.012159275973400427,-0.01450433567319602,-0.011143495000241947,-0.01171863339010638,-0.018344507110216835,-0.008317589121870446,-0.008016104353790438,0.0021419496531331155,-0.004577479938859035,-0.00391291189315621,-0.014125189225789089,-0.11199092282815609,-0.11874760083523284,-0.10180318371553514,-0.0809261351670097,-0.06297027258249427,-0.04245285367516401,-0.02753098482042199,-0.016967622006702546,-0.018811959976533288,-0.00817258946139743,-0.012398574317217295,-0.01506125846294487,-0.015359683213450463,-0.013100843439709658,-0.003175252064028576,-0.008876909237128283,-0.01676801923409685,-0.0046851984374253934,-0.0050293673408012066,-0.005257350702726647,-0.009241439211268934,-0.01335468466536347,-0.010201401041581857,-0.006984518772203383,-0.006161654541792392,-0.01035053763888393,-0.003787391137665297,-0.004132595496593626,-0.0065212198591124,-0.0066329940548879186,-0.009084996602985692,-0.005504289818106246,-0.0030882835234714925,-0.005310116835351301,-0.011885394098875792,-0.011390576316481367,-0.014273629435202455,-0.011633513246453548,-0.012889448112558358,-0.010272525127546252,-0.01384416549881167
1,-0.006468714784167956,-0.005995855143230437,-0.0076608771531956775,-0.00904880090518996,-0.002435495650076528,0.0017426214973077926,0.009279851230948842,0.00014029184221483166,-0.002578859928597262,0.004133907594367439,0.00037755596456690927,-0.0031643173151338386,0.00999172222448517,-0.0024595026707861524,0.0045751647960552335,0.00847411779016167,-0.0012728287895381928,-0.0020249188999033243,0.0007830172466365902,-0.004941473965327898,0.0073153315669092014,0.006699196424476283,-0.0012413422340394895,0.00195498224598824,-0.006174772984935676,-0.0003843644745701491,0.0071265335967382335,-0.001648125605037441,-0.008606905114508475,-0.005233168502673944,-0.019011714070228558,-0.021810844993078553,-0.017675297599818132,-0.024101391710219248,-0.02597494039404909,-0.010090388715220075,-0.01492539965429596,-0.0147679859330222,-0.010276626760494808,-0.012735325394267255,-0.00910763694799354,-0.00866989355412471,-0.0065515651974503725,-0.00783680818512751,-0.0069641847992051266,-0.020990156743316165,-0.008445645663116903,-0.01030956202740487,-8.386376029065471e-05,-0.003630822293108694,0.0011839463397820523,0.00472740636308078,0.006565118302183994,-0.0075873436106894294,-0.016008684076416473,-0.02936199095681259,-0.029630397088206882,-0.028891343287646698,-0.029426506718932707,-0.024912046953859474,-0.02932042475739448,-0.01705124835333359,-0.01810520476281301,-0.018590843977488208,-0.016146202191237004,-0.012438506280211162,-0.003471702839971039,-0.006038185538003106,-0.01990246398362953,-0.007958825542945904,-0.003089850962810469,-0.004515426844805646,-0.012212882423322217,-0.01168162404710162,-0.011137318049011953,-0.007445177358180288,-0.007353175627301944,-0.012450549344655813,-0.0034892781699601676,-0.0053796586602366,-0.006674019344083034,-0.010980048413215622,-0.006447322187386375,-0.005994244750671601,-0.0047790200927286305,-0.0070330598284786845,-0.015545156386559835,-0.006171215308093932,-0.013169341978762602,-0.007473784453256163,-0.00915519122501205,-0.007170139079539344,-0.007770776113513749
2,-0.003548512872754731,0.0026629056303373875,-0.006787840831281512,-0.0067910504049850644,-0.009478628551365954,-0.001086951559170922,0.010750159549108506,0.001480977142529133,-0.00041888140798225585,-0.004768594791213062,-0.006761736292182988,-0.0035386988875842794,0.011815938058326576,-0.0029180127139061198,0.00470319632587923,0.0013372982688625832,-0.000860110400794534,0.0004993520873253968,0.0030540678946566814,-0.0019668831518726997,0.006115730479831361,0.009271652158329166,-0.0038394284682088187,0.004271950651958673,-0.0031978979138367132,0.002616596647050164,0.01040427949587116,-0.009058671801154498,-0.0337169575728949,-0.024420581648250672,-0.029854523507717286,-0.01935615862364021,-0.008476960795363506,-0.015097425571148798,-0.00992073660124217,-0.0037861211926525852,-0.006945588941801689,-0.008776947710879977,-0.009545575378523078,-0.013682703204023644,-0.006848159710319863,-0.0014240842699756934,-0.002371461167027752,-0.0030822250620670118,-0.0009878617315284468,-0.010700865949124902,-0.004832594012000776,-0.004199905974751451,0.0041760887412972715,0.0010131808007392263,0.0015670293086519906,0.0007828588267200497,-0.02995981141345421,-0.03295348089250246,-0.02899986007296292,-0.030645058852454433,-0.024153587376492744,-0.01911459070995671,-0.018093546025649457,-0.018408022803205294,-0.017232030515256024,-0.012874972263089368,-0.01221281962539714,-0.014513146147459391,-0.015195287521267717,-0.013288594207001863,-0.0006926501054081963,-0.00754020897928045,-0.016139027140636194,-0.005341503287045294,-0.0033341515711733005,-0.003945113603461438,-0.01038865022572156,-0.013748845407414155,-0.008002787512003305,-0.00739948719736404,-0.01137885544292003,-0.02009738485575201,-0.004139979880480291,-0.0076523297909224675,-0.006985299465420167,-0.011037386575892294,-0.007537882707332286,-0.008531379969420083,-0.005185799523875181,-0.010719060160830853,-0.014698747535501917,-0.009782097711945785,-0.015175557483739782,-0.010087996163352809,-0.01672128801095323,-0.011740367381333551,-0.01465119571499463
3,0.0004244616055315329,-0.0012159906574777458,-0.004611711730887013,-0.0036362524826253637,-0.002796901214626255,0.0032402139033652277,0.01016961131876262,-0.001103353020675041,-2.7124421881778067e-05,0.001619979111538897,0.00020357722102424644,-0.006209634322241046,0.010766179829008777,-0.0020708395070240344,0.0032711877180888987,0.004000390593031996,0.0013459359836929718,0.0007633776103281275,-7.738452873927004e-05,-0.008361547407434765,-0.00033293880659821326,0.006049482705580924,-0.005281587523005066,0.000576883562749298,-0.006706015539482173,-0.0004658879525747069,0.009409714928290541,-0.045615873446647706,-0.09525094058346999,-0.07902943747163559,-0.07190639314191039,-0.05418085879082358,-0.03804081450495628,-0.03627801425968483,-0.026935933949703908,-0.018544356842947442,-0.013073465868438746,-0.01370035934663488,-0.015265043156163892,-0.011329812159866469,-0.0055724647123881425,-0.008681551813276666,-0.008758456118623904,-0.005554851325440548,-0.009980683421327725,-0.01454875055018242,-0.0075759238437853715,-0.008506792742854664,0.001266337707553474,-0.00812787687980107,-0.00024249328569752609,0.0009432086291586324,-0.06519947914434975,-0.10134569410377522,-0.08318685656464007,-0.08165046379863612,-0.06440062239474455,-0.04868354695568972,-0.03873867738379652,-0.031406036117297274,-0.03049767849905526,-0.02020888121422426,-0.014728812702338346,-0.02012847254523434,-0.01923931950500412,-0.01583155804813079,-0.008408490792138896,-0.010273817445332773,-0.01596716361642199,-0.0132777283364025,-0.006238824945933822,-0.009715737802493912,-0.015973585319087887,-0.012442895211985713,-0.01343124294544088,-0.012498160762380542,-0.016111936196380534,-0.017688764727674177,-0.007952178486451009,-0.01474891421411224,-0.013839016372407026,-0.01048781302973734,-0.016326688394129204,-0.011474876896688139,-0.013757933666583478,-0.012740909212641325,-0.025176732214847935,-0.013665294512225574,-0.015864235203978047,-0.015686013966830517,-0.015854856619743618,-0.013967123528971757,-0.015990256335777164
4,0.00012211527803199405,-0.00016459528911409694,-0.0022273898844326363,-0.0044691267633084775,-0.007084655000742534,0.0022640464098475557,0.009517396254326196,2.2575654299068085e-06,-0.0033434264484565102,-0.0002869152634293037,0.0004874060297377899,-0.00540360198424922,0.013373744368678893,-0.0014581686051609141,0.0058889466874651455,0.002911502829965387,-0.0005080326059644522,-0.0007318181080214889,0.002345857130290286,-0.005110382633216379,0.0023153395965385837,0.0034483989609298883,-0.003833946464491476,-0.0005230888358703041,-0.00753186322478538,0.0005415529312978513,0.007249322414663702,0.0009337711456413184,-0.012692686597096577,-0.0011063336800805602,-0.014299432753638253,-0.011123005441408405,-0.009329445432938035,-0.016849134204696196,-0.015488906352461156,-0.006133484193851489,-0.006011937248926838,-0.006671861853878402,-0.007428388415018501,-0.011152032194536789,-0.009191928496280062,-0.005649904743283598,-0.007927163738314206,-0.00846936991294128,-0.009075888148341454,-0.016586011733306292,-0.005091653485473597,-0.009571553824557835,0.0003928260026085168,-0.0023011201445235414,-0.0007532897248535935,0.005648093993132125,0.0050021784062439754,-0.006332078971830133,-0.007132574411538864,-0.016253853062451203,-0.021649027652629035,-0.021087478644677755,-0.021386539629993474,-0.014728865608843998,-0.022602756913399483,-0.011210621849335934,-0.013591433579709425,-0.017793557769555338,-0.014746486860608261,-0.012847848104804823,-0.005803104079862484,-0.00667959384359024,-0.014398580004888317,-0.005323215246293886,-0.005623028100061106,-0.007247709188472658,-0.011315179964275052,-0.012719891781919637,-0.009293470625554717,-0.009783077174398025,-0.00823874047419023,-0.015027434936563288,-0.006803921207689906,-0.0038670697891125404,-0.00861139970997018,-0.007440361123785751,-0.008348372185053717,-0.0012829720833704972,-0.005868881489283033,-0.009838620694067645,-0.017032874938952232,-0.006346551395186589,-0.014938384569540938,-0.011559995472713672,-0.011325485024300376,-0.007427876828903793,-0.007736296468377514
5,-0.002538704808900037,-0.0034905821484546777,-0.009336715890966376,-0.00463637870604196,-0.004022843848773754,-8.775541549663467e-05,0.006036469987991698,0.0004940853749492478,-0.002775653459810594,0.002268832361338005,-0.0014185248420896383,-0.0034948031871879764,0.008929664940612722,-0.002308111314925312,0.006803012100107373,0.0049189644937850776,0.002470679383106203,0.001010621663728745,-0.0010768369350089345,-0.0017734935394811513,0.0036085234992434987,0.008955950141431105,-0.001998276431471691,-0.00132112265718325,-0.0052170007605059875,-0.0003790733818980263,0.010268903613390263,0.002795779766780764,-0.015487214357219439,-0.013261257443853775,-0.022585095294607015,-0.016989246163050396,-0.016664137148325854,-0.019409077659992894,-0.015759624811503493,-0.010116973756685516,-0.011650931379191931,-0.011238704367876724,-0.011890437244001045,-0.011998242874296695,-0.005713878014563312,-0.012611634516139327,-0.009056222677361189,-0.0028011248620721943,-0.008839755713413734,-0.017032681374304783,-0.003849113967463667,-0.009048054459365898,0.00023545910399425102,-0.0042505759726816075,-0.00019943577916630738,0.0027964587906621646,0.0016510303437551018,-0.016010683816292667,-0.024838301069828674,-0.024663718411420857,-0.028376915440449606,-0.024311908712286646,-0.025644712169558437,-0.017208063884741217,-0.027623110057879152,-0.015582410242380237,-0.016135108594340204,-0.01872449616701905,-0.016460056232729482,-0.013452776050234616,-0.00474332173853588,-0.008471126747728264,-0.017945617229121705,-0.007349879020888438,-0.006806527758463742,-0.006409041989962701,-0.012777535307342967,-0.01386132451756191,-0.013659990759205286,-0.01125992556860295,-0.01184697750456283,-0.015441866899220913,-0.007073842924025127,-0.00829160064193201,-0.012479401232317134,-0.010104904329904275,-0.009891665167763944,-0.00533240547288753,-0.005910452382410927,-0.009842766267983102,-0.01938478509702822,-0.009167854910736632,-0.013451904241585946,-0.011049566294792227,-0.01372882130684617,-0.008586366495955358,-0.012859765120335095
6,-0.00443318793048431,-0.0027668369742534214,-0.00417498235081706,-0.00704325212322819,-0.004123399876366839,-0.0026180022544105043,0.006847559561767829,0.0033001833565347648,-0.0009115227395056375,0.0033969063103091762,0.0006438130598897562,-0.004257762305028253,0.012791572073576948,0.0028899090053162158,0.0024041658453746585,0.0009067853441466973,-0.00010830791079858837,0.0004553058180489498,7.034754641031692e-05,-0.004063302460266621,0.0032837110382793943,0.0074201998057217755,-0.003783610860770519,0.0008558564479745128,-0.006982147427422103,-0.0068968320704742335,0.005054048706150159,-0.10726943699101725,-0.11412930389561705,-0.0826000724851206,-0.07382172196209481,-0.05330879102011158,-0.04242453541940971,-0.03937574096671116,-0.03553762864330755,-0.023197558117192017,-0.02251041572875578,-0.021760223537173242,-0.024321431324643067,-0.021939557908990413,-0.012760730847555428,-0.014478805104299946,-0.017701396412512678,-0.020142092789993928,-0.019801770158964185,-0.023341638906752327,-0.014696571881515708,-0.014626992293545488,-0.005529935709162878,-0.013381133697654642,-0.005199758373098407,-0.031010404387435384,-0.1134469661764887,-0.11815227983711506,-0.10439060612298148,-0.09067942320139065,-0.0785542744601604,-0.06437277815425942,-0.059008070288655394,-0.05122158704803069,-0.05104701616139481,-0.03886801821013736,-0.039820097798451,-0.039915777563414606,-0.0393437238594225,-0.03904161382739835,-0.027256848603371735,-0.032244063968206435,-0.038960983500538816,-0.027151759673132863,-0.026235500614664436,-0.024980793118548755,-0.03580710401571532,-0.03097577223441303,-0.02353052831406826,-0.029353712106909347,-0.02552775676399064,-0.03062634201430676,-0.019964198509910384,-0.020553765560234923,-0.02207215714485674,-0.023262335482811845,-0.022307680078899942,-0.01982731620313657,-0.021135318575566754,-0.02209443510132699,-0.029235069071794004,-0.023039461866877796,-0.025537295867280704,-0.023471242698714184,-0.025356604691391952,-0.01782433304073198,-0.023484258285384602
7,-0.0029899052047954503,-0.0010006329355416353,-0.009910468090886833,-0.005694906180573857,-0.003051529302826756,-5.398686009971793e-05,0.006876390846085368,0.0011757633746612406,-0.00018961089462124427,0.001843786011016439,-0.00048802246782284607,-0.005334596006517752,0.012855648225368157,-0.00048115412678277646,0.003177663449230224,0.004844543112527338,0.0006163435330968199,-0.0010156597657728756,0.001559758325516955,-0.0008454044101192069,0.004269946382798222,0.004638653733122453,-0.0065536356656745055,0.00038597712667836465,-0.00463496220806876,0.0029829467368660987,0.005431919838997359,0.0023031772117790275,-0.015556078717661981,-0.019946846737922845,-0.031387347543757944,-0.022378128552298773,-0.01930487341630257,-0.018487926778887387,-0.01718987263584059,-0.009323907248889157,-0.009134100175315922,-0.006207026887192177,-0.008884372743492788,-0.00984524447156513,-0.005219018390604886,-0.008572025267669063,-0.009929811934182992,-0.006932903612195109,-0.00982303068781933,-0.021837941947989256,-0.008840222389061682,-0.008152286807315856,-0.00041099581849805996,-0.006766391171282545,-0.0005274712193494176,0.0019740116286140245,0.006138113567027799,-0.023459385060392433,-0.035936872906003656,-0.031591097077060225,-0.03152796057511552,-0.02985706919812378,-0.023311489994833477,-0.02226644858780214,-0.023320611630799112,-0.009595591928932404,-0.01454143259038543,-0.012830229383063723,-0.01683376745413288,-0.012288298307206034,-0.00102181416196092,-0.005319240096324857,-0.015170484368905592,-0.0044949469518786025,-0.0018856292344380556,-0.004079499363840144,-0.010697521106560174,-0.011141881101555938,-0.010167762469966203,-0.013637624975106618,-0.010819067089948503,-0.01768985638838659,-0.0055603272244043826,-0.00656421161441592,-0.011576546704950596,-0.008138243724725968,-0.01227203165146161,-0.003509278441519579,-0.005893788452979114,-0.00815019655929974,-0.014467067424676858,-0.007694567643384926,-0.01403872803319293,-0.009290328040640651,-0.015136550569514589,-0.009374610288106681,-0.011114554552500036
8,-0.0030097156029680835,-0.002811539022907815,-0.00311508382599499,-0.006119973609203774,-0.001920268356698394,0.0013481272626375779,0.009230218826983131,-0.0001984996962265262,-0.00012082625784643715,0.00024823221201877117,0.001554468985281274,-0.004175549394011791,0.013145534193147748,0.0014109457573523165,0.004179449629989375,0.003405731544794854,-0.0013917024324483782,-0.0034042839950543025,-0.0027386071820893125,-0.003175888021336913,0.0042874572215328005,0.005168893401921756,-0.004404236176382702,-0.0014816843521889755,-0.005911201110306771,-0.0031117588880025843,0.006567224421812083,-0.045036615337818955,-0.10214444615881194,-0.0816616483017235,-0.07495384829875013,-0.05770488438656902,-0.041442316009628326,-0.03933322408467794,-0.031571443979186216,-0.020599455344166944,-0.019443164128843834,-0.0219005728734281,-0.01895681695006773,-0.017867111549179734,-0.017339087661008244,-0.013750760016146906,-0.013598520687208196,-0.009761543981579463,-0.01649334343740532,-0.02244500051125518,-0.010479646601745335,-0.011368948271835,-0.005638041512787647,-0.010916015118082798,-0.005621585756005437,-0.0034542307373495447,-0.08104983854921152,-0.11383180481535042,-0.10041390777095206,-0.08381291613299688,-0.07275255913907874,-0.05945612047033254,-0.04520368010040609,-0.03519388647741934,-0.03725807139843167,-0.027981948460368958,-0.02696534420659572,-0.028492402847173828,-0.028695444410773565,-0.022990591100972357,-0.019110761233950495,-0.019860328028868713,-0.02636249926474009,-0.014150162402008256,-0.01188251580601019,-0.013719649971914563,-0.021618300342833185,-0.024165170452611448,-0.02335028227004485,-0.020916451431784572,-0.02183257719546169,-0.023015698627471826,-0.016054554891015812,-0.021271568619702832,-0.019201631084880294,-0.02353843492906096,-0.02456519505075522,-0.01644408084718744,-0.02147726942737713,-0.02238308367979412,-0.03089705124938811,-0.022956688823659047,-0.028160743946599266,-0.02434374889940539,-0.02819890291820733,-0.023259563460393488,-0.02678609286174468
9,-0.002601676041613309,-0.003837651245320552,-0.009345807001390528,-0.009352548752531274,-0.00460607735349559,0.0003688374310242125,0.005647326450286608,-0.0016079709328041187,-0.000361347493309023,0.0004776498805974806,0.0029895029872506465,-0.004029143302321996,0.008760236469923249,0.0035292557451586833,0.0036816746901018375,0.0037519873937648706,0.0010521580428722774,0.0021749433360063676,-0.00025783264446771676,-0.0039025003860802677,0.005123743540021276,0.006572366309260461,-0.003727652608138429,0.002764975290320418,-0.0032644498051180274,-0.001320016841604088,0.004198843172841292,-0.004985375829140942,-0.04296399996807594,-0.0856379363687295,-0.11191584365989338,-0.10718462571056053,-0.0926338268050334,-0.08898702383052753,-0.0743020197855415,-0.058798227958007224,-0.05214345701646626,-0.04857924138204589,-0.04155395937602849,-0.04013391488756163,-0.03286234773616631,-0.035256441973873655,-0.03464310477546436,-0.026615923495588743,-0.029922290406669782,-0.03734609539891814,-0.024275307132980112,-0.022274968668041895,-0.013783554099880828,-0.015297215967072958,-0.01148903975480778,-0.010858694609668967,-0.0070111001150914365,-0.06005319920288668,-0.10822895335812169,-0.12621476986416866,-0.11992275645743455,-0.1074882175852242,-0.09636087464416852,-0.08017740941581893,-0.0782910722326687,-0.06194317474238343,-0.05491708767650649,-0.05557562002600051,-0.05425048005523094,-0.04598827344479815,-0.03745084990913148,-0.04107949076951596,-0.04718140916300782,-0.036124749125397,-0.03323958449563718,-0.032285280778310756,-0.03642898989667641,-0.03545749388244852,-0.034645890070516064,-0.029623946155510728,-0.0300576958740596,-0.03247342406802756,-0.020655652614105426,-0.024879509597320604,-0.02424061544868618,-0.023092077810422242,-0.024571956835363076,-0.01899092135215593,-0.02143415735221145,-0.02062717411905835,-0.027994429178516068,-0.020988258727554453,-0.02458788304715661,-0.02127826426341317,-0.02289521942486424,-0.01851407915855297,-0.018523284922621352
