cell_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92
0,47.12654222433158,47.12091878251549,46.82530073589914,46.814507630130564,47.12447313373641,47.24686671401663,47.57689884778949,47.29302266694089,47.25217549564504,47.1829403256709,47.295619402989445,46.90193653776147,47.74135483043018,47.151322877224715,47.31318356176136,47.32032991193812,47.36722053165019,47.182631282622424,47.270686885332644,47.05433614343082,47.268769200362144,47.553767230081064,47.05385370127145,47.10497439508483,46.94468274835039,47.17854388649832,47.556964901844815,42.95114109661434,41.77653629194095,43.110782406884255,43.818224420097636,45.112106688896056,45.90203490748531,45.993705072461296,46.42009205694679,46.73766319916484,46.79163552546788,46.479770972452464,46.60956772887049,46.54941675112098,46.74924395532876,46.62957185168827,46.518876749625264,46.6775203020016,46.650371738247784,46.33760709188584,46.81091304234592,46.825144188434,47.304640222226205,46.98745940821299,47.01882936764443,46.5367738013277,41.91716545168562,41.598226380895476,42.39806272733329,43.383533169750926,44.23111331519263,45.19960796810672,45.90397289152015,46.40260093279993,46.31554166525681,46.81775753855067,46.618276124507155,46.49258802654592,46.478501324097266,46.585126541067226,47.05364951745988,46.784511157033684,46.412022888790034,46.98237471455086,46.96612872648948,46.95536710642531,46.76730405450404,46.57314433848876,46.721990464921504,46.87383867209702,46.912680770648834,46.71495069068415,47.02475439072222,47.00845952550088,46.89570801745943,46.890431880561735,46.77468869826915,46.9437107078344,47.057754739802014,46.9528763585621,46.64250004368967,46.66585719102776,46.52976689905877,46.65438970972633,46.59510514729064,46.71863315680877,46.55003911399441
1,40.425148303552724,40.444388181950224,40.37664118426318,40.320168857378974,40.58925333382457,40.75925402512232,41.065931463784146,40.69405787588959,40.58342007793533,40.85655150991049,40.70371176145507,40.55959878309708,41.09489631966229,40.58827652777231,40.87450553721056,41.03314749983491,40.63656032955212,40.60595902418654,40.720209311862305,40.487289211962505,40.98599840083405,40.96092887873795,40.63784146553097,40.76789463351282,40.43710831025145,40.672710476235416,40.97831652301385,40.62129012150717,40.33814886781129,40.47542064264112,39.91479436316301,39.80090234550733,39.96917094376552,39.70770377983105,39.63147217593013,40.27778836839166,40.08105975282624,40.08746465735436,40.270210649690675,40.17017026003913,40.3177749158984,40.33558597215739,40.421777256969904,40.36948284092475,40.40498844634854,39.834294795952836,40.344710248751035,40.2688705680354,40.684937354362795,40.540617465448,40.736522454981994,40.880699995318274,40.95547346122007,40.37963314275038,40.03698269750771,39.493658678409915,39.482737675892274,39.51280855532659,39.49103363852397,39.67471955584651,39.49534993846473,39.994562477694295,39.951678730808126,39.931918872646236,40.03138731237111,40.18224733992941,40.54709177339058,40.44266582804764,39.878551219251555,40.36451815600862,40.56262869607626,40.504624366162176,40.19142760230391,40.213043628860696,40.23519054161796,40.38541765293839,40.389161051531154,40.18175732751264,40.546376662219075,40.46946019989251,40.41679479983778,40.241589583545796,40.42601873301012,40.4444537061657,40.493899191929955,40.40218603507652,40.05584287421688,40.43725306625067,40.15251084150294,40.38425367745198,40.315840010848554,40.39660850658202,40.37216957694152
2,42.15992078678642,42.42272626748164,42.02286463111984,42.02272883386844,41.9090172450721,42.264069590148345,42.76489845448996,42.37271880393186,42.29233567737687,42.108299049351025,42.02396911569815,42.16033601707383,42.80999160564219,42.1865972854384,42.509051086318586,42.36663974237114,42.27366725284631,42.331186190348205,42.43927636579704,42.22683963291977,42.56881548911048,42.70234272018357,42.14761213090259,42.4908050565951,42.174755326235264,42.420766931686245,42.75026424917781,41.92678563977221,40.883492124428436,41.2768223343287,41.04691193596541,41.49109836914492,41.951397866500535,41.671285614048074,41.890311627585675,42.14986756485381,42.016190299323746,41.938705402533515,41.90618472089372,41.73114260026749,42.02031253581459,42.24980548540689,42.20972191340069,42.179649451369094,42.268262086560014,41.85730430918124,42.10559123857079,42.132360306486056,42.48674913353997,42.352926313309894,42.37635967612096,42.3431813770982,41.04245719850652,40.91579486749594,41.08307279595117,41.01346433922454,41.288118877605775,41.50131912172254,41.54451958212254,41.5312140512439,41.58097035382994,41.76531774369068,41.793333460576555,41.69600651068812,41.66714506920635,41.74781737501613,42.28075250775297,41.99103189070858,41.627215390631996,42.08405925733466,42.16899042601239,42.14314058663962,41.870514174726246,41.728344119767804,41.971460165893866,41.99698583754414,41.82861853398602,41.459737043847475,42.1348957830448,41.98628805260061,42.01451014474343,41.843066101751255,41.99113031541096,41.94909538805864,42.09064709267462,41.856534511018246,41.688153705088574,41.89617744711248,41.66797984824983,41.883234865715664,41.60257989910337,41.81332294269644,41.69016562539955
3,45.7190554453244,45.64408733843948,45.488904047756144,45.533482201497364,45.571840267130995,45.847734361490005,46.164405451407994,45.64923483988497,45.698418118451656,45.77369018611761,45.70896110456219,45.41587953230776,46.19166842811801,45.60502103863404,45.84914985422039,45.88247417599568,45.76116650898132,45.734543790731045,45.69612124877254,45.31753784092449,45.68444250575183,45.9761169841252,45.458290953358016,45.72602107659449,45.39319508059349,45.67836677528983,46.129678446479566,43.615027893265335,41.34672231543196,42.088039454945175,42.413560142561685,43.22361099487169,43.96120549392195,44.041764861715954,44.46869473404359,44.85218693534563,45.10220478016869,45.073555962803745,45.002050448306974,45.18188915778949,45.444997965371854,45.30291374911654,45.29939924868688,45.44580289112621,45.24354387932753,45.034784775209964,45.353440568860584,45.31090017881397,45.75752889500861,45.328216504050815,45.68857583509706,45.74276200673459,42.720063816441666,41.06819416581711,41.898046825499186,41.96825944899102,42.75657129644616,43.47483626398134,43.92931339924073,44.26441259512179,44.30592422734032,44.77611874135288,45.02655599649257,44.77979339000145,44.82042737957866,44.97616091166483,45.31539254431245,45.23014775477167,44.96996378361235,45.09287005530276,45.41454553079709,45.25565180341609,44.9696703139987,45.13102164332126,45.08585449021849,45.12849602658588,44.96334772626459,44.89128720214037,45.33624586048452,45.025637364285345,45.06721938418892,45.22036822981609,44.95353362433817,45.17525974897309,45.07092483609006,45.11740250550291,44.54908965114339,45.07515841373339,44.97466757682815,44.98281222635982,44.97509617491733,45.0613649309856,44.968908454242566
4,41.31719062442541,41.30534599567873,41.2201275246422,41.1275165639011,41.01946348006385,41.405678395594244,41.70532984176455,41.3122390451295,41.17402165941315,41.30029269506798,41.33228156921206,41.08891138734556,41.86464385724411,41.25190570626875,41.55543080430208,41.432426209608515,41.291157863178626,41.28191280389414,41.40905817200356,41.10102490792102,41.40779742720036,41.45460654083978,41.15375722500258,41.290535858013854,41.00098834871806,41.334518493902856,41.61163084466003,41.350721869951485,40.78778366121498,41.266440761984256,40.72140552976406,40.85263055794729,40.92672637048286,40.61607189172182,40.672265823047724,41.058758387100056,41.06377975220793,41.03651685072419,41.005263115143734,40.851431400490526,40.93240749021733,41.078736091858254,40.98465763627615,40.962257935747,40.93720136598776,40.626942045617945,41.10179864920291,40.91672435331364,41.32837426534339,41.21708156938891,41.28102576532943,41.54548066268222,41.51879650379496,41.050554010681005,41.017483826379326,40.64066423305049,40.41777799387112,40.44097678835036,40.42862193732781,40.70366473704697,40.378377391615274,40.84901093613025,40.75065449484971,40.57705572773205,40.702936765325255,40.78137360638905,41.07240709853207,41.03619742563804,40.71730954406671,41.09223233598277,41.079846423661145,41.01272736169026,40.844691416043375,40.78665975665359,40.9282125669699,40.907985869849114,40.9717857327419,40.69133019745472,41.03106119544788,41.15238882938711,40.956390380067,41.00476849685376,40.96725661152057,41.25914345051715,41.06968969260504,40.905691247867374,40.608481167722466,41.04995612381751,40.69500905919893,40.83457756206949,40.844265691901334,41.005284249863884,40.99254277275645
5,42.840128244689375,42.799245909207954,42.548159355301294,42.750034905526896,42.77638571442011,42.94539447089871,43.20842482901858,42.97038404613423,42.82995149834207,43.046607944610614,42.888239037225034,42.79906461912529,43.33268513205463,42.85003204236242,43.24134717151579,43.16042890284404,43.05527710534903,42.99256884765087,42.90291424700968,42.872993428606016,43.104146558322086,43.33381405944201,42.86333919142758,42.892422379589114,42.72509767398232,42.93288260793141,43.390204312767345,43.06923989487897,42.28400059111329,42.379603578512885,41.97915254228252,42.21948958151359,42.23345274173991,42.1155598429269,42.272300789975155,42.51464793266015,42.44876573594042,42.46647054124546,42.4384791593953,42.43384899775431,42.70375721156206,42.407504339843825,42.560206304190984,42.82885752292195,42.56950337921631,42.21762407552409,42.78384726749604,42.56055712232111,42.959276264139504,42.766604810197876,42.94059789270055,43.069269058386666,43.020073864751396,42.26151801573218,41.882379239060086,41.88987741819901,41.73039871191907,41.904987350485406,41.847744556895556,42.21009154340962,41.76277402253668,42.2799120074777,42.256174075597286,42.14496204539263,42.242217846349575,42.37137801457556,42.74544179173992,42.585335684931636,42.17841424423732,42.63349233686737,42.65682881907115,42.67390050032848,42.40037903963887,42.35383119965768,42.36247831616191,42.46555910842596,42.44034571884978,42.28594822650084,42.64534785632141,42.593046181000666,42.413183648769866,42.515166304444236,42.52432474808202,42.72014113812243,42.695314506898924,42.52642491492332,42.11660318818532,42.5554117931487,42.37141545802775,42.474593863269035,42.359522101718,42.580386234144186,42.39684733795671
6,47.08116581186793,47.159968906466865,47.09337656413738,46.95773374929973,47.09581594138774,47.167007421650915,47.61464155325037,47.44688324181322,47.247708228489564,47.45145734911497,47.321261325857535,47.08946183264687,47.895738748600394,47.42748103341906,47.40450984356225,47.33369749947133,47.285692912264125,47.312346664779795,47.29414167441858,47.0986579971674,47.44610425245993,47.64172217702097,47.111884840823116,47.33128903047032,46.96062344015749,46.96465807290947,47.529824963389174,42.2179557944257,41.89354709852769,43.38459014452136,43.79972549407178,44.769798713928644,45.284524030665715,45.4287040047404,45.61021146412136,46.193783454998076,46.22627897848693,46.2617561785447,46.14063457519409,46.25327530996518,46.687349521357945,46.606100389729356,46.45370142073354,46.33827890016382,46.354373034707876,46.18696975705098,46.59580202138068,46.59909249679492,47.02929971569461,46.65801016502187,47.044914070972546,45.82430758833341,41.92581540528974,41.70329728800508,42.35409805208148,43.00251106543452,43.57591922996819,44.24657374651499,44.50027515308126,44.86850429059251,44.87675989007613,45.45271462763272,45.40769000806921,45.4031652340164,45.43021811983424,45.44450514943257,46.001816300065414,45.765966821472226,45.44831822329393,46.00678604121145,46.05011667872909,46.10945281865848,45.59746775416967,45.825945371070944,46.178037023056504,45.90265391628758,46.08358646215491,45.842470210924034,46.34669166563175,46.31881055939455,46.24700458404838,46.19072008059203,46.23586651257417,46.35316494146196,46.29130844340264,46.24595104133301,45.90826464209822,46.201259955505165,46.083135350187085,46.18084068811736,46.09168038313678,46.44788764740625,46.18022517041755
7,42.9924621337842,43.078242321122474,42.69403783559706,42.875818729038244,42.98980481695765,43.11906301668513,43.41791054356718,43.17209155739698,43.11321471966283,43.20089762269957,43.10034679753433,42.891355804936865,43.675744438939894,43.100642969953874,43.25841627326579,43.33029444298542,43.14796859567282,43.077594343300504,43.18864995381685,43.08493599106237,43.30551703273247,43.321416206552286,42.838789119143534,43.13803487578719,42.92152498752023,43.25001981777669,43.35562294447488,43.220707210292,42.45059125229684,42.26125522768209,41.7679249191385,42.15641497392058,42.28893801029858,42.324165885680934,42.38013978592916,42.71933115501317,42.727515900048274,42.8537353718063,42.73828449428064,42.6968503687886,42.89633967250409,42.75175335191512,42.69320370216674,42.822434557725884,42.69780825804321,42.17970857170078,42.74018831897708,42.76985305818393,43.10366829379768,42.8296148057977,43.098645712495085,43.20651313247489,43.38607500034669,42.10978968925817,41.57174305710508,41.75913895584585,41.761861489632906,41.833912650027365,42.11616713020788,42.16123076933709,42.115773792576796,42.70761573369491,42.49434420468303,42.56813366727528,42.39549553670855,42.591502489095205,43.07732895717608,42.89201797314453,42.467218616978954,42.927562640129096,43.04008004967962,42.945477318015065,42.660099014766395,42.64093759367512,42.68294294407334,42.533317646254936,42.6548577828916,42.35857979103938,42.8816219608283,42.838333069522605,42.62219420823463,42.7704586154392,42.59220392991791,42.97006603736579,42.867242648805856,42.76994319258593,42.497550934070716,42.78959054522236,42.51602152445382,42.7207791371817,42.468681889610785,42.71714476943392,42.64211595248178
8,45.85349141252493,45.862605932750625,45.84864532627381,45.71044469380398,45.90359717657602,46.05391694679785,46.416429424115556,45.98278461272546,45.98635696282303,46.00333066822771,46.063406997558985,45.79987248507632,46.59650227169434,46.05680608960398,46.18413488160548,46.14855010597586,45.92790693510412,45.83534445697148,45.86596020770095,45.84584882495119,46.18910235746641,46.22964129446578,45.789354742250026,45.92376849439042,45.720046540617496,45.84879824653599,46.29395321446727,43.92059385449857,41.294095411013714,42.2361384884069,42.54464304923047,43.33795591395963,44.08590256006826,44.18290373448535,44.539882857535,45.04450561517646,45.09768566130325,44.98466472967501,45.12005369892059,45.170171335996685,45.19445616524808,45.35949022167169,45.3664919997947,45.542961902435735,45.233353560840676,44.959625460580284,45.50993498849043,45.46903430256523,45.732609673333144,45.489865565217485,45.73336650508377,45.83304731069557,42.26427678992493,40.75657141686888,41.37368618371093,42.1371975633336,42.6458845509373,43.25741321461255,43.91291022630629,44.3732797937092,44.27834397835495,44.70497062671715,44.7517262021223,44.68149385246152,44.6721555823313,44.93453270510225,45.11297350665644,45.07849949509204,44.77945219483965,45.341120941492285,45.445414348703494,45.360921032150365,44.99764698362491,44.88051155258291,44.91798981978998,45.02992635837842,44.987791981047984,44.93337796190289,45.253534285927635,45.013593839214,45.108794228287856,44.90933631887883,44.862113655669724,45.23561924165308,45.004133265359016,44.9624731341676,44.57089946996184,44.93609193572463,44.696747480091986,44.87229838801684,44.6949924759517,44.922162151481075,44.75997031455794
9,49.323221983681385,49.26210068652817,48.98971203041021,48.989378638143464,49.22410057102652,49.470119458739234,49.73115066300499,49.3723625692336,49.43401044166259,49.47550043891132,49.599716296702375,49.2526310443514,49.88508991498249,49.62640808518358,49.633945488521206,49.63742258388796,49.50391094747008,49.559434790776216,49.439129445520294,49.25889377461714,49.70525850388506,49.77689562287904,49.267540325907255,49.58861298003224,49.290446575224145,49.38660244032643,49.65952044214243,49.20534354841786,47.32722919425974,45.21692282272552,43.91743091116427,44.15139853228678,44.870962890094106,45.051304152277545,45.777505206503825,46.544196855697095,46.873287788091595,47.049544951063886,47.39695835206657,47.467182221356204,47.82677488575342,47.708382425389495,47.73871310277416,48.135672306193754,47.97216624728288,47.60504513548572,48.25142018510878,48.350340682345106,48.770257094515,48.69540366986972,48.88372514200242,48.914896894323626,49.10516767461336,46.48213616860002,44.09975456703533,43.210322131892674,43.521474022295884,44.13638534340648,44.68665336851411,45.486956144996796,45.58023906455429,46.388673325481975,46.736126538208026,46.70356087564643,46.769091538138746,47.1776731859443,47.59986482804291,47.42042171654309,47.118670381876655,47.66544300454243,47.80811981888511,47.85531193156356,47.65039772650472,47.69844003058225,47.738575364698185,47.98691993131663,47.96547019239142,47.84600789222388,48.430418905128825,48.22154123749487,48.25313575410896,48.30993309928985,48.23675029969734,48.51274299531823,48.391920382431735,48.43182722024148,48.067502608920805,48.41397090760095,48.235962718586784,48.39962958871354,48.31966811650112,48.53632373813813,48.53586849580037
