frame,bg_sampled_mean,bg_fit_min
0,21.787344,17.711240986669882
1,21.788004,17.6964374334376
2,21.938623,17.87397512563312
3,21.916622,17.951653952855043
4,21.883661,17.938365918481637
5,21.857418,17.871684168774934
6,21.923307,17.922130420732255
7,21.919136,18.004418705223994
8,21.880322,17.896043439961684
9,21.857195,17.772009201487887
10,21.842018,17.75980962833738
11,21.811485,17.840362951558696
12,21.764006,17.714347901840313
13,21.76804,17.888943789019265
14,21.865496,17.979508212531663
15,21.831514,17.967711593975352
16,21.801653,17.91894702846746
17,21.772358,17.881505056612696
18,21.859327,17.82246399431616
19,21.83903,17.92801330443858
20,21.808813,17.84479461785562
21,20.443895,17.78063272473937
22,21.82437,17.71647083162312
23,21.772673,17.776777594249392
24,21.792032,17.992082802647143
25,21.751875,17.69940338681731
26,20.443167,17.76241960901932
27,21.767633,17.825435831221334
28,21.747883,17.878268925406317
29,21.7458,17.828244304166667
30,21.732737,17.743392077136377
31,21.728325,17.839222144110526
32,21.73053,17.911745427860847
33,21.722326,17.898230503035418
34,21.680027,17.700246241351145
35,21.709919,17.892829338822125
36,21.720078,17.77739096981962
37,21.691843,17.71596919335834
38,21.688084,17.766959155867408
39,21.696892,17.807572503478344
40,21.695883,17.82638537335763
41,21.708515,17.851167012215527
42,21.692478,17.74197744581403
43,21.695398,17.706716310337175
44,21.67301,17.83138230642388
45,21.667942,17.86882234675592
46,21.697687,17.70552659266383
47,21.685211,17.930640740660785
48,21.688759,17.808125100044265
49,21.682611,17.839527030315548
50,21.688763,17.85463159435786
51,21.678507,17.7680764566831
52,21.721848,17.835785886882952
53,21.668192,17.830393657129605
54,21.67579,17.83380579275809
55,21.69553,17.922294387854052
56,21.681824,17.773732968365973
57,21.677887,17.732956030662493
58,21.676222,17.86945359727956
59,21.669489,17.912488674431295
60,21.65734,17.651186635627724
61,21.668318,17.821051063963097
62,21.677666,17.78990666667398
63,21.658789,17.81838072716895
64,21.695406,17.92164378410955
65,21.674402,17.849763753508313
66,21.68121,17.78855659547938
67,21.685467,17.78112005317711
68,21.68818,17.83017574053337
69,21.674013,17.783749772436153
70,21.695017,17.867408171360683
71,21.695898,17.776574430325805
72,21.686628,17.88540979709865
73,21.679865,17.870215310059614
74,21.700485,17.8117627933594
75,21.705687,17.885674190334573
76,21.708778,17.752235796700948
77,21.696426,17.90908343788468
78,21.70601,17.868974536265036
79,21.687115,17.760265663727132
80,21.695347,17.912286377970077
81,21.694086,17.983049798511978
82,21.71191,17.808218905896886
83,21.73258,17.975389097645348
84,21.70669,17.859417582321655
85,21.71933,17.968835792878735
86,21.719378,17.829198349056878
87,21.719332,17.80517235841014
88,21.720419,17.973327224333545
89,21.743082,18.007750879954642
90,21.721794,17.862671638507415
91,21.740976,17.874332362670533
92,21.741037,18.065967690986824
93,21.742714,17.9623041631789
94,21.751345,17.963351004142204
95,21.742317,17.948737157279357
96,21.79333,17.82964577824255
97,21.762545,17.93347448459321
98,21.757671,18.010764993355572
99,21.7626,17.96043505321198
100,21.773,18.035749693160852
101,21.776022,17.991721386335747
102,21.745872,17.863687183484494
103,21.762882,17.977246768738574
104,21.781176,17.91040739320185
105,21.763699,17.8484565553528
106,21.773,17.9261251850891
107,21.793926,17.92553125356737
108,21.793932,17.959221787613316
109,21.79759,17.929779073373094
110,21.780945,18.10014960934595
111,21.781424,17.845946395486173
112,21.781862,17.828629084387902
113,21.787682,17.896018337392242
114,21.803375,18.044954616948605
115,21.809607,17.86895396787011
116,21.793278,17.877929253414884
117,21.803148,17.961435454743253
118,21.804705,18.151288573092778
119,21.806967,17.944467641421586
120,21.80011,18.07953986105981
121,21.812738,18.102210298162387
122,21.820087,17.962395017414565
123,21.829388,17.915107088336296
124,35.87533,17.939718951013283
125,21.84745,17.964330813690268
126,21.828548,17.933595292628286
127,21.853136,18.096007635008394
128,21.836412,18.117433924944613
129,21.831423,17.98289614113494
130,21.831013,18.121720119166845
131,21.84292,17.982950882291988
132,21.832848,18.05137758077754
133,21.860043,18.13291130888182
134,21.86624,18.16104315338402
135,21.856676,18.03817049157962
136,21.883415,18.05650608379532
137,21.87586,18.050910769169857
138,21.855623,18.07807719132488
139,21.877674,18.133599420926707
140,21.873947,18.039946312660142
141,21.870066,18.00858828495276
142,21.884134,18.22050944985883
143,21.881958,17.99947677285853
144,21.90431,18.206443571192462
145,21.909836,18.013881248452417
146,21.89781,18.161693315028547
147,21.88918,18.096752175670414
148,21.88958,18.029863346266293
149,21.885096,18.103823713849476
150,21.896193,18.02299900567567
151,21.89767,18.144553625077002
152,21.891056,18.01475310903852
153,21.922068,18.158513069814134
154,21.897585,18.142966500681084
155,21.913002,18.19785806262404
156,21.906158,18.099369961155343
157,21.892458,18.01151558996426
158,21.91142,18.308105202258382
159,21.907171,18.21705504006703
160,21.900158,18.024774225757806
161,21.922426,18.21368464386467
162,21.929222,18.091207841302097
163,21.917448,18.10548630650571
164,21.917078,18.070088614323797
165,21.928236,18.181464045911707
166,21.925467,18.136181316610337
167,21.92164,18.05828035609355
168,21.934732,18.08981941031962
169,21.93765,18.150746584468408
170,21.920738,18.155455866674522
171,21.93709,18.03338718103802
172,21.924328,18.143386809685865
173,21.93892,18.08278608678846
174,21.956093,18.13114378489317
175,21.944214,18.048544750478367
176,21.941967,18.15418960406419
177,21.952478,18.216060150836213
178,21.975153,18.061871929583152
179,21.988026,18.198587057577292
180,22.943289,18.198640634757282
181,21.9909,18.198694211937276
182,22.00641,18.287800833079075
183,21.992403,18.273414748106177
184,21.990822,18.11858534396772
185,21.982628,18.216569708573818
186,21.994867,18.224058641823945
187,21.997349,18.12467740924464
188,22.004276,18.31135584165087
189,21.963278,18.172975962836922
190,22.001463,18.218961881249424
191,21.996017,18.228612489414445
192,22.009499,18.188663486176676
193,21.990644,18.291165581658714
194,22.009525,18.32867441505079
195,22.000454,18.25793403839431
196,21.99603,18.130382280737216
197,22.02662,18.095837581336944
198,22.017277,18.00313915235298
199,22.008902,18.145546367865933
200,22.014694,18.1857122028739
201,22.018484,18.294857344789225
202,22.020254,18.166207496340867
203,22.026722,18.335136753288264
204,22.03896,18.148647133064966
205,22.053595,18.360127498108774
206,22.023333,18.20789670591472
207,22.044369,18.24896331303364
208,22.038256,18.124339673145084
209,22.043388,18.115116165177547
210,22.039043,18.305141466234403
211,22.03496,18.38954724866347
212,22.038265,18.177387259482938
213,22.02974,18.105453440230225
214,22.046513,18.29619979195892
215,22.049591,18.356991852040053
216,22.033737,18.180525187223637
217,22.055895,18.206548515078858
218,22.065495,18.313699994399464
219,22.060675,18.356033181902088
220,22.056627,18.079141389903132
221,22.073202,18.294324069864878
222,22.07469,18.31130016439257
223,22.10653,18.27272545218389
224,22.096975,18.20836882407007
225,22.099796,18.282427451611316
226,22.094639,18.377398675210696
227,22.114275,18.379767399131257
228,22.087088,18.24923706701572
229,22.100143,18.075354052228484
230,22.097452,18.30657267625665
231,22.094929,18.356470573083257
232,22.125053,18.275762178658617
233,22.131977,18.20794336189171
234,22.104996,18.370548917359848
235,22.10531,18.25032988344134
236,22.117678,18.25905328996049
237,22.09841,18.31096753764208
238,22.09998,18.036155642940845
239,22.092752,18.364607301296097
240,22.096619,18.317858719175444
241,22.108948,18.359407472315162
242,22.098938,18.17814752226007
243,22.09376,18.343408706029958
244,22.112038,18.21938180257702
245,22.107779,18.20704496125726
246,22.112408,18.2127715163562
247,22.119818,18.314293219995413
248,22.12106,18.157466201947127
249,22.132072,18.282162368571644
250,22.119532,18.35058188254474
251,22.136421,18.348836600567072
252,22.14945,18.341103283061948
253,22.142313,18.2973515608993
254,22.138533,18.338563564389453
255,22.142157,18.298388478757204
256,22.124834,18.277740142481107
257,22.143661,18.32817596406197
258,22.132662,18.43923922766033
259,22.135609,18.25695658431103
260,22.12103,18.327188557846398
261,22.135529,18.41888029728471
262,22.139732,18.34977786079285
263,22.148766,18.342673970059373
264,22.145456,18.396780680252903
265,22.156849,18.4247151234212
266,22.156826,18.268641178902527
267,22.161333,18.429269426289952
268,22.167889,18.396928710553667
269,22.186615,18.141657581004146
270,22.143309,18.32341449749255
271,23.6473,18.379297394433642
272,22.15439,18.43518029137474
273,22.17766,18.373091387051957
274,22.151999,18.377707447797796
275,22.162668,18.307663238069146
276,22.14631,18.21442330596774
277,22.146694,18.46516904594952
278,22.151825,18.314428970976707
279,22.138786,18.386381589280113
280,22.129044,18.22168699770324
281,22.572262,18.318532417567884
282,22.147068,18.415377837432526
283,22.164354,18.504767626640724
284,22.16376,18.205987336901146
285,22.168982,18.38750874240774
286,22.15745,18.422380002227147
287,22.15945,18.405123058360672
288,22.1541,18.413221655757212
289,22.169584,18.519410200133265
290,22.177248,18.447140205693454
291,22.190983,18.347179768956146
292,22.200426,18.51714920792103
293,22.221106,18.4075892063089
294,22.208626,18.315923608022928
295,22.204874,18.46772386734485
296,22.216173,18.422331345667693
297,22.215033,18.316733175794358
298,22.216385,18.47030439694931
299,22.216236,18.45028863046655
300,22.22422,18.43416383670166
301,22.226463,18.466170764752878
302,22.25225,18.311409305793727
303,22.27302,18.5694477454201
304,22.236135,18.355688661635895
305,22.235159,18.47949382420892
306,22.23145,18.353617393102017
307,22.246284,18.43970170939441
308,22.250408,18.379941308538474
309,22.26997,18.498165006322843
310,22.26443,18.442811052253873
311,22.421295,18.511978291182192
312,22.258041,18.58114553011051
313,22.253922,18.400931153077735
314,22.27478,18.292748721465212
315,22.277115,18.5626239029591
316,22.318073,18.54232888504323
317,22.268896,18.48183592171002
318,22.269577,18.54350798735708
319,22.261667,18.429129814915694
320,22.299824,18.360978063826906
321,22.292921,18.601248765468032
322,22.266987,18.527055709049474
323,22.275187,18.378535713544302
324,22.278904,18.41384965507791
325,22.28451,18.57767029655269
326,22.275585,18.436352151635823
327,22.300833,18.39573759074747
328,22.306883,18.398057158143043
329,22.291473,18.578780664046185
330,22.295506,18.403586616485573
331,22.314476,18.49033548830295
332,22.314047,18.45300341358383
333,22.298897,18.300275806110786
334,22.323017,18.364435832599327
335,22.32261,18.500473105084712
336,22.315594,18.535017506608224
337,22.32021,18.50927732536777
338,22.301397,18.487571677336007
339,22.298023,18.530820477500086
340,22.305271,18.49460083134891
341,22.321028,18.408205207928553
342,22.292408,18.341420031259254
343,22.300644,18.54429423302765
344,22.305788,18.66627239981296
345,22.305367,18.61557494050146
346,22.308104,18.652547007427987
347,22.31287,18.44506913860967
348,22.311033,18.306725426638078
349,22.305979,18.38967148780781
350,22.306213,18.50395833827054
351,22.313593,18.49225305094415
352,22.30996,18.440788748025774
353,22.314003,18.53884531502435
354,22.30396,18.497375788200095
355,22.32798,18.65999762430415
356,22.330652,18.49633204755596
357,22.3386,18.59493521397313
358,22.332256,18.55496978395645
359,22.31008,18.381420298825326
360,22.318357,18.55552945929483
361,22.304926,18.566944303932402
362,22.098335,18.619831192220644
363,22.320019,18.672718080508886
364,22.312008,18.426723289596865
365,22.310326,18.430261531654004
366,22.328732,18.65091085856361
367,22.318314,18.55741592223332
368,22.304295,18.42052065394346
369,22.309345,18.467261022907074
370,22.301039,18.45618938721607
371,22.31632,18.56364057096151
372,22.319374,18.522288528888193
373,22.303131,18.463464130883384
374,22.302082,18.602694399974606
375,22.297192,18.399649410905106
376,22.320236,18.471949144689184
377,22.311502,18.426249889337637
378,22.31903,18.535846967270444
379,22.331003,18.612690081047656
380,22.319393,18.531022543157604
381,22.341133,18.583200055511035
382,22.347715,18.370562363171384
383,22.332802,18.47796981505236
384,22.336458,18.60682700464521
385,22.35966,18.37559639097818
386,22.333347,18.365466612513316
387,22.35862,18.585583952458684
388,22.361935,18.627233292406952
389,22.356144,18.447494664533032
390,22.344946,18.539096919348168
391,22.33649,18.5669729505256
392,22.359747,18.431990925589425
393,22.333523,18.471340985498728
394,22.340868,18.38607616469364
395,22.334621,18.431663544447265
396,22.352789,18.624882675715366
397,22.360634,18.5090510193378
398,22.34897,18.529254419986167
399,22.356976,18.484953510657782
400,22.363174,18.406272249018905
401,22.355278,18.657616856525546
402,22.357737,18.389859238885716
403,22.3594,18.490697120374573
404,22.349394,18.451029608363246
405,22.352459,18.56008775081797
406,22.354141,18.545772460878258
407,22.356396,18.418690070530367
408,22.349646,18.609873702350264
409,22.355997,18.483180219325295
410,22.379313,18.688050851395147
411,22.350441,18.652292460245793
412,22.365816,18.548310601829126
413,22.350067,18.52284241395817
414,22.354023,18.510449132909883
415,22.369562,18.57938980691327
416,22.365887,18.52835340656148
417,22.37282,18.542540639056305
418,22.364792,18.590390300975223
419,22.35971,18.68091137942069
420,22.3605,18.663032302795457
421,22.173834,18.61526016050783
422,22.364403,18.567488018220207
423,22.36731,18.370646872575055
424,22.382042,18.616618317012964
425,22.392012,18.52907855907942
426,22.39595,18.49918808377248
427,22.391169,18.623177242240242
428,22.409763,18.59136421148218
429,22.37939,18.585067155419356
430,22.393969,18.533391912832055
431,22.413067,18.69920412615804
432,22.411322,18.631308609283288
433,22.38972,18.624187387647066
434,22.372038,18.558917460614484
435,22.402159,18.661811094406897
436,22.394192,18.540057423948618
437,22.38104,18.64145449035703
438,22.382887,18.536761693875444
439,22.408909,18.634980534553428
440,22.386469,18.500251387253744
441,22.37798,18.556006472932335
442,22.381535,18.653958260983845
443,22.37931,18.57361813791415
444,22.38949,18.60260438340562
445,22.383614,18.559728251510457
446,22.375996,18.674287027568333
447,22.393562,18.705419572959467
448,22.386047,18.506562716927714
449,22.391693,18.579183511553378
450,22.39949,18.555283962560804
451,22.3994,18.63965585014962
452,22.371325,18.69160350116254
453,22.382383,18.674476474259908
454,22.375385,18.506246542876788
455,22.375145,18.554539954060292
456,22.380949,18.57836427524824
457,22.366693,18.493718534287567
458,22.354197,18.62014240254174
459,22.359116,18.644793196177677
460,22.36755,18.64929100142362
461,22.367357,18.67823026795752
462,22.398855,18.710179592243286
463,22.371584,18.516478592261954
464,22.372704,18.60446253754482
465,23.879978,18.62324432365863
466,22.375887,18.642026109772438
467,22.371462,18.5936533537193
468,22.423738,18.61314146100366
469,22.3851,18.767999901711377
470,22.396776,18.579009919061424
471,22.394705,18.611208243135298
472,22.409212,18.615041256496994
473,22.394201,18.677944368091545
474,22.417376,18.757466356957014
475,22.403812,18.637876558369747
476,22.418402,18.712088502301143
477,22.442186,18.599163884556027
478,22.427526,18.70709235720953
479,22.418457,18.686203754882236
480,22.417694,18.746892692458765
481,22.434185,18.635358796388875
482,22.434515,18.6585568131351
483,22.426281,18.75828666041626
484,22.426453,18.639647377950066
485,22.432102,18.562234492552882
486,22.423616,18.492352424916664
487,22.432001,18.627150367094515
488,22.430973,18.525568341867054
489,22.417435,18.54697043307676
490,22.432577,18.535248545214692
491,22.416548,18.51548000692276
492,22.413576,18.56523945423503
493,22.412085,18.518056471017044
494,22.440842,18.634390886591554
495,22.421062,18.492910756223548
496,22.434486,18.652043620821885
497,22.44795,18.45847836352692
498,22.423784,18.790718019128573
499,22.44123,18.664641397683226
500,22.456114,18.792426591023435
501,22.434593,18.6761382122554
502,22.449255,18.743722810345957
503,22.446434,18.55143051091981
504,22.443184,18.674085639567828
505,22.454247,18.689429000923298
506,22.4517,18.667395054735
507,22.431292,18.60987984072645
508,22.422224,18.66707889785847
509,22.449484,18.56245435362496
510,22.44187,18.598449123751113
511,22.44622,18.70526539285518
512,22.448988,18.4597757130523
513,22.435705,18.668040227994137
514,22.444807,18.753140073509634
515,22.451569,18.624831327242617
516,22.446068,18.521256502432824
517,22.45328,18.631435493461705
518,22.466606,18.689403878355566
519,22.425543,18.504773839609374
520,22.447847,18.694998668024052
521,22.431763,18.64744609985619
522,22.44206,18.610485712243474
523,22.441982,18.585743627229174
524,22.43208,18.696438289179227
525,22.448675,18.58917925603071
526,22.451923,18.728345470150185
527,22.436014,18.528937203054817
528,22.450985,18.66020957048487
529,22.460958,18.607654236786225
530,22.454355,18.700719024536234
531,22.427143,18.679811069197026
532,22.438852,18.48827459559016
533,22.452555,18.60304747573601
534,22.460144,18.685617474260273
535,22.456177,18.833367445924512
536,22.444061,18.65196750290944
537,22.473381,18.743670042326364
538,22.451504,18.51123302150599
539,22.467646,18.722013892505892
540,22.447735,18.660577987429562
541,22.45737,18.722622179719696
542,22.45897,18.6429183252071
543,22.448065,18.601634458397207
544,22.458046,18.651609025208014
545,22.479097,18.65626765897434
546,22.461731,18.73965411632374
547,22.456846,18.78137635451012
548,22.474676,18.66599386057163
549,22.469376,18.657170964527996
550,22.482067,18.738520596575643
551,22.478573,18.690058463069786
552,22.487728,18.72813842887023
553,22.48779,18.73758915098842
554,22.485268,18.585631003623032
555,22.486382,18.51204963606174
556,22.496931,18.61746397103556
557,22.484886,18.63124396841089
558,22.507437,18.73342142940688
559,22.47801,18.65695427223296
560,22.499908,18.753241181211884
561,22.483921,18.694734251282956
562,22.512777,18.79767081090391
563,22.50482,18.489632359831077
564,22.494001,18.81799577712458
565,22.496798,18.839908804722914
566,22.484213,18.69625180287618
567,22.49134,18.73016596537346
568,22.47078,18.598671227862862
569,22.473185,18.745193661413712
570,22.47219,18.766582301442792
571,22.479311,18.71751221502342
572,22.46852,18.619207300848622
573,22.458979,18.56145757915755
574,22.480003,18.643037783384774
575,22.46086,18.621407441150232
576,22.481712,18.690112082897944
577,22.476269,18.72938698651634
578,22.472626,18.79589304652434
579,22.469015,18.774383631997345
580,22.48276,18.573004206000565
581,22.474066,18.76231011115555
582,22.473804,18.747304946080433
583,22.470734,18.70068930229878
584,22.487137,18.566276277389317
585,22.4701,18.57837455190924
586,22.460472,18.555692585496352
587,22.465069,18.70453038046017
588,22.49129,18.691284678667543
589,22.473688,18.502268078425605
590,22.46257,18.807079459722672
591,22.484858,18.674802350099455
592,22.47576,18.84010006127431
593,22.4417,18.7567508672032
594,22.476568,18.612631559087085
595,22.460564,18.6587594755343
596,22.454004,18.765781751579745
597,22.43744,18.704309136188012
598,22.479118,18.790455429416102
599,22.445345,18.62753628769742
600,22.442457,18.659754866322654
601,22.473953,18.70893428075552
602,22.469,18.780479227602324
603,22.495607,18.71511548288848
604,22.48196,18.67537376938578
605,22.46651,18.617506265064005
606,22.488579,18.591367762829726
607,22.490837,18.673967377307555
608,22.489445,18.539188407710462
609,22.47643,18.762993044590367
610,22.494728,18.614559972857258
611,22.464527,18.76845537152237
612,22.468279,18.6948487931449
613,22.48441,18.78779863591565
614,22.479383,18.810631185106708
615,22.464048,18.670878033700962
616,22.47574,18.738401591756904
617,22.467346,18.59720910819218
618,22.458044,18.53209671274478
619,22.482866,18.521617289890575
620,22.454927,18.6707816735949
621,22.467812,18.628659920506273
622,22.477243,18.708303369984243
623,22.470499,18.69330218912487
624,22.4803,18.804910335691652
625,22.489468,18.78414183233689
626,22.469751,18.828808756379768
627,22.469425,18.675255313544397
628,22.467003,18.577820301382655
629,22.482428,18.591638045161673
630,22.46596,18.71945958727882
631,22.466476,18.752430367702345
632,22.46155,18.759650462011074
633,22.453312,18.61626182737768
634,22.448633,18.521367019231736
635,22.449574,18.644631308702262
636,22.445984,18.673559754221774
637,22.459793,18.48779545919684
638,22.446047,18.635555394115528
639,22.451445,18.70679729299554
640,22.460827,18.717758399710682
641,22.482632,18.77932303076052
642,22.45882,18.788300626767093
643,22.471062,18.735631759501747
644,22.467194,18.72915482417331
645,22.431114,18.654262460081615
646,22.43923,18.614979329439333
647,22.458351,18.617539343000708
648,22.434261,18.647546273488075
649,22.449926,18.7861537175586
650,22.458979,18.554712694210625
651,22.473568,18.82462681649452
652,22.462465,18.70376901520755
